direction,label_level,n_seeds,scvi_matched_macro_f1_mean,scvi_matched_macro_f1_sd,totalvi_macro_f1_mean,totalvi_macro_f1_sd,delta_mean,delta_sd
pbmc10k_to_pbmc5k,l1,5,0.8205479313212214,0.0015701672864709604,0.8243670496476035,0.017079344972069824,0.0038191183263821793,0.01638924001702342
pbmc10k_to_pbmc5k,l2,5,0.660624463750594,0.01571766360474432,0.6504387309213688,0.012616803835131767,-0.010185732829225079,0.0163885386808222
pbmc5k_to_pbmc10k,l1,5,0.7618521285180193,0.04179268478079494,0.8595281075005594,0.04280146434348509,0.09767597898253998,0.032106862210768694
pbmc5k_to_pbmc10k,l2,5,0.6055662166979399,0.02795349576609817,0.6483116797674675,0.03353009978010872,0.0427454630695277,0.04307233509163974
