direction,model,ensemble_size,seed_subset_definition,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,nll,brier,ece,aurc,median_predictive_entropy,median_expected_entropy,median_ensemble_disagreement,median_variation_ratio,n_cells
direction_A,scvi_matched,20,nested seeds 0-19,0.8189373701395073,0.6896700362025846,0.6882961724422348,0.8075429898800336,0.8563610003624502,0.5210010312158121,0.49060665779115287,0.2532282053023766,0.027153207112534727,0.046673658098909616,0.4964104452589211,0.42731743096872216,0.05818020163619281,0.0,3369
direction_A,totalvi,20,nested seeds 0-19,0.8263579697239537,0.661892087347866,0.6599197369749598,0.8037752819511027,0.8766553688967482,0.56048657800761,0.4684997974248112,0.23838961015275706,0.02856835020848702,0.03980706107387107,0.4891366577271086,0.4384211301488027,0.040316737332876995,0.0,3369
direction_B,scvi_matched,20,nested seeds 0-19,0.7699530516431925,0.6142538649907918,0.6068917675162777,0.7310715852017406,0.8801096595930556,0.6631842021536637,0.6701578413509933,0.31109486988073054,0.033754689417093045,0.059381780373774104,0.5609363359769146,0.5106107330368779,0.04000541405505455,0.0,5964
direction_B,totalvi,20,nested seeds 0-19,0.8272971160295104,0.6945894160946703,0.6920064703358746,0.8133396546727172,0.889698190876856,0.5712705907830593,0.49878532231185146,0.24800018502826474,0.0818988574245501,0.03727781892381519,0.669929946433204,0.5715190933304393,0.08870148440554992,0.050000000000000044,5964
