direction,model,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_cells,error_prevalence,error_auroc_predictive,error_auprc_predictive,error_auroc_latent,error_auprc_latent,nll,brier,ece_equal_frequency,ece_equal_width,aurc,aurc_latent,median_predictive_uncertainty,median_latent_uncertainty,spearman_upred_ulatent,spearman_upred_ulatent_p,spearman_ulatent_neglog_trueclass,spearman_ulatent_neglog_trueclass_p,median_latent_uncertainty_correct,median_latent_uncertainty_incorrect,median_predictive_uncertainty_correct,median_predictive_uncertainty_incorrect,error_rate_top_10pct,error_rate_top_20pct,error_rate_bottom_20pct,error_enrichment_top10_over_bottom20,source_training_epochs,query_epochs,runtime,gpu_peak_mb,rss_peak_mb
direction_A,scvi_matched,0,0.7907390917186109,0.6344938503113732,0.6510217830627849,0.7813507255044935,3369,0.20926090828138913,0.8270057291333888,0.5023948713811304,0.5811811811811811,0.2809882623470784,0.5863164383107541,0.2978095018790521,0.03541598457297927,0.03883789996783788,0.06457015455461085,0.17296999862128642,0.09917610883712769,0.0826779156923294,0.19061470585711665,6.239152128182424e-29,0.1872124393715312,5.990443990548503e-28,0.08220092952251434,0.0843866616487503,0.037897706031799316,0.37488675117492676,0.5727002967359051,0.5,0.0,inf,200,200,160.04454546099805,309.50439453125,2809.9453125
direction_A,scvi_matched,1,0.777975660433363,0.6593410721337531,0.6441927129587905,0.7714354511037198,3369,0.22202433956663697,0.8502311645757119,0.5626028963524782,0.4997679172949052,0.22430875063063896,0.6078556249264048,0.30590665263669303,0.03365952800876416,0.03450209616677067,0.0634739540392167,0.2035200352643389,0.10537469387054443,0.09068584442138672,0.009169903817529348,0.5946822237060523,0.007749136540781446,0.6529818334623028,0.09085186570882797,0.09009769558906555,0.035534560680389404,0.4136928915977478,0.6201780415430267,0.5667655786350149,0.0,inf,200,200,159.96576976100914,309.50439453125,2809.6875
direction_A,scvi_matched,2,0.8165627782724845,0.6843356843495505,0.6850659240505798,0.803928178918973,3369,0.1834372217275156,0.8434896871864188,0.5046998635165394,0.5557743638970942,0.22354250244780893,0.5172156126144816,0.2631508163148807,0.019729543383307603,0.02544843201362689,0.05059321444389758,0.15222904794810238,0.08952337503433228,0.1295449435710907,0.09385771621093758,4.820127412559768e-08,0.10720232042440735,4.431217592229175e-10,0.12923215329647064,0.13062390685081482,0.03464871644973755,0.3920745551586151,0.5727002967359051,0.49258160237388726,0.0,inf,200,200,161.10641090100398,309.50439453125,2809.6875
direction_A,scvi_matched,3,0.8026120510537251,0.6734256286201439,0.6651163604208098,0.7933444580077756,3369,0.19738794894627487,0.8594112870934734,0.5430805251257415,0.5560436779819371,0.22925085624236002,0.5419618850153664,0.27075170898440776,0.012023033896551242,0.015424488833835893,0.05146550515055382,0.1586842590308238,0.10407513380050659,0.18020056188106537,0.14157545087984896,1.505819515214426e-16,0.15674410163216476,5.632908156097663e-20,0.17983970046043396,0.1823146641254425,0.03343525528907776,0.4224230647087097,0.5964391691394659,0.5252225519287834,0.0,inf,200,200,161.81128203800472,309.50439453125,2888.859375
direction_A,scvi_matched,4,0.7960819234194123,0.6597368137327535,0.6577255382600048,0.7887631938407204,3369,0.20391807658058772,0.8452153393098851,0.5145344340172806,0.6576901701678233,0.3050893424367847,0.5466664845549457,0.2842233486675317,0.03461300128997345,0.03478850290714439,0.057318896436700253,0.12951190060418086,0.08386653661727905,0.1248028427362442,0.4145052263950449,4.874348837239419e-140,0.4170316272897927,6.734665583624862e-142,0.12364915013313293,0.12981544435024261,0.02533864974975586,0.37223154306411743,0.5608308605341247,0.5059347181008902,0.001483679525222552,378.0,200,200,162.14348688600148,309.50439453125,3200.79296875
direction_A,scvi_matched,5,0.7886613238349659,0.6389691455559425,0.6364187016448626,0.7737692719993337,3369,0.21133867616503413,0.8274422449920286,0.49130069975134655,0.515377812688975,0.23886205514697276,0.58889254373067,0.29972563399796925,0.044061136797720696,0.04539838812318674,0.06564204512616302,0.20895447801773115,0.09004729986190796,0.12993267178535461,0.05525634612127575,0.001334246259463476,0.04384395611686069,0.0109240803980855,0.12999260425567627,0.12955984473228455,0.03484034538269043,0.36982446908950806,0.5667655786350149,0.5103857566765578,0.002967359050445104,191.0,200,200,167.22574518999977,309.50439453125,2810.5703125
direction_A,scvi_matched,6,0.7916295636687445,0.653200236674953,0.6309097003644198,0.7796411227069342,3369,0.20837043633125557,0.8461821545811048,0.5372102174623825,0.47027668549978263,0.20258956839918774,0.5754946244669076,0.28978170696721617,0.033676549434024955,0.034885665678808145,0.05920907594175622,0.20688104998273826,0.08907419443130493,0.13616187870502472,-0.15835261446310994,2.324879125779884e-20,-0.13250026701131154,1.1457335315306446e-14,0.13698408007621765,0.1341763734817505,0.034071147441864014,0.3755665421485901,0.5756676557863502,0.5252225519287834,0.0,inf,200,200,169.31432034299996,309.50439453125,2810.5703125
direction_A,scvi_matched,7,0.7928168596022559,0.6521700418302246,0.6317213569160848,0.7773456681142629,3369,0.20718314039774413,0.843246307844309,0.5128192615115899,0.5513085469636196,0.23079964809415535,0.5980946480782084,0.2930141218874988,0.03299744924794109,0.03321964931739264,0.05940886733758,0.17420341591911265,0.09035676717758179,0.11716224998235703,0.13348639190712863,7.256658153167842e-15,0.13256056173515385,1.1142906637761352e-14,0.11682621389627457,0.11813555657863617,0.03313708305358887,0.3890060484409332,0.5786350148367952,0.5207715133531158,0.0,inf,200,200,167.7282463600004,309.50439453125,2985.30078125
direction_A,scvi_matched,8,0.7895517957850995,0.6602706419109531,0.6605753779055847,0.7801548411134522,3369,0.21044820421490057,0.8338226560760151,0.5068707834398766,0.5863593221417436,0.2831048280619577,0.6015005446261675,0.29820828414259926,0.03587236807621633,0.03773536050786741,0.06321965641599071,0.1658208462130151,0.08354055881500244,0.12239043414592743,0.21488529831334774,1.731748653580227e-36,0.21403226722043048,3.3158496661413107e-36,0.1214028149843216,0.1268787533044815,0.028682798147201538,0.36888688802719116,0.5756676557863502,0.5044510385756676,0.001483679525222552,388.0,200,200,169.52920752699947,309.50439453125,3258.21875
direction_A,scvi_matched,9,0.7663995250816266,0.6442831593533979,0.6216009202299225,0.7644967318004087,3369,0.2336004749183734,0.8523248134627669,0.5766645534950292,0.46164409650625926,0.22656327292476536,0.6303573098011771,0.3152278254530335,0.03364587311363955,0.03638130993438285,0.06739208975297392,0.24805139870695062,0.11183905601501465,0.12563791871070862,-0.10933087879960032,1.983312415140726e-10,-0.11175791634934013,7.78210759935361e-11,0.12595456838607788,0.12436345964670181,0.027044355869293213,0.43006622791290283,0.6528189910979229,0.5801186943620178,0.0,inf,200,200,168.26751464200015,309.50439453125,3528.32421875
