direction,model,seed,n_samples,n_cells,mean_closed_form_variance,mean_empirical_variance,mean_ratio_empirical_over_closed,median_ratio,ratio_p05,ratio_p95,expected_mc_relative_sd,corr_percell_mean_variance,max_abs_mean_shift,ratio_if_second_return_were_sd
direction_A,scvi_matched,0,50,2000,0.08463858813047409,0.08301965147256851,0.9816865921020508,0.9694044589996338,0.6773332357406616,1.3264806270599365,0.20203050891044214,0.7396720072395614,0.4653632938861847,0.21752393245697021
direction_A,scvi_matched,0,100,2000,0.08463858813047409,0.08390023559331894,0.9904398322105408,0.9841822385787964,0.7688888907432556,1.23198664188385,0.1421338109037403,0.8445334028621228,0.3505450487136841,0.219672292470932
direction_A,scvi_matched,5,50,2000,0.13092786073684692,0.12776347994804382,0.9783574938774109,0.9639940857887268,0.6780704259872437,1.3223133087158203,0.20203050891044214,0.6303649246482633,0.4679333567619324,0.2568165063858032
direction_A,scvi_matched,10,50,2000,0.12289715558290482,0.12107668817043304,0.9790559411048889,0.9644045829772949,0.6787106990814209,1.3276208639144897,0.20203050891044214,0.7802943640279126,0.4334639310836792,0.2548762559890747
direction_A,scvi_matched,15,50,2000,0.13124452531337738,0.12871161103248596,0.9805949330329895,0.966307520866394,0.6796824932098389,1.3281137943267822,0.20203050891044214,0.7845890557754013,0.5079415440559387,0.266011506319046
direction_A,totalvi,0,50,2000,0.025560559704899788,0.024991821497678757,0.9785595536231995,0.965666651725769,0.6752661466598511,1.3245264291763306,0.20203050891044214,0.9760235320747366,0.13460969924926758,0.1501205861568451
direction_A,totalvi,0,100,2000,0.025560559704899788,0.025279544293880463,0.9890638589859009,0.9825526475906372,0.7689168453216553,1.2321743965148926,0.1421338109037403,0.9889246444332828,0.0909615159034729,0.15179026126861572
direction_A,totalvi,5,50,2000,0.025256171822547913,0.024734511971473694,0.97910076379776,0.9667720794677734,0.6792998909950256,1.3237320184707642,0.20203050891044214,0.9804706809539018,0.11565595865249634,0.14951179921627045
direction_A,totalvi,10,50,2000,0.029221713542938232,0.028632113710045815,0.9796895384788513,0.9676674604415894,0.6788850426673889,1.32491135597229,0.20203050891044214,0.9800998678196015,0.1561793088912964,0.15894712507724762
direction_A,totalvi,15,50,2000,0.023494724184274673,0.023055775091052055,0.9807366132736206,0.9666372537612915,0.6810716390609741,1.3264776468276978,0.20203050891044214,0.9810438816610115,0.1140829473733902,0.14408357441425323
direction_B,scvi_matched,0,50,2000,0.0831841230392456,0.08168629556894302,0.9816858172416687,0.9693925976753235,0.6773357391357422,1.326534390449524,0.20203050891044214,0.9321064717260313,0.2922258973121643,0.2650507688522339
direction_B,scvi_matched,0,100,2000,0.0831841230392456,0.08236369490623474,0.9904405474662781,0.9842031598091125,0.7688852548599243,1.2319233417510986,0.1421338109037403,0.9662094504988,0.27296680212020874,0.2673231065273285
direction_B,scvi_matched,5,50,2000,0.0746297836303711,0.07295046001672745,0.9783568382263184,0.9639856815338135,0.678034782409668,1.3223092555999756,0.20203050891044214,0.957701628632364,0.2528073191642761,0.2538483142852783
direction_B,scvi_matched,10,50,2000,0.09469470381736755,0.09274253994226456,0.9790555834770203,0.96440589427948,0.6787049770355225,1.32760751247406,0.20203050891044214,0.9513452642330822,0.2718923091888428,0.280498206615448
direction_B,scvi_matched,15,50,2000,0.0937703400850296,0.09189526736736298,0.9805954098701477,0.9662888050079346,0.6797500252723694,1.3281140327453613,0.20203050891044214,0.9593144169161767,0.3315327763557434,0.2739258408546448
direction_B,totalvi,0,50,2000,0.042819004505872726,0.04193558543920517,0.9785595536231995,0.965653657913208,0.675218403339386,1.324525237083435,0.20203050891044214,0.983183419348208,0.16860198974609375,0.19302766025066376
direction_B,totalvi,0,100,2000,0.042819004505872726,0.04236750677227974,0.9890639781951904,0.9825575947761536,0.7688992023468018,1.2321743965148926,0.1421338109037403,0.9918273599239211,0.12552595138549805,0.19505055248737335
direction_B,totalvi,5,50,2000,0.045066867023706436,0.04413105919957161,0.97910076379776,0.9667916893959045,0.679300844669342,1.3237228393554688,0.20203050891044214,0.9860426707706288,0.17526736855506897,0.19939149916172028
direction_B,totalvi,10,50,2000,0.0428481251001358,0.041991572827100754,0.9796896576881409,0.9676738977432251,0.6788880825042725,1.3249118328094482,0.20203050891044214,0.9871713671159259,0.15026140213012695,0.1959230601787567
direction_B,totalvi,15,50,2000,0.04597923532128334,0.04509785771369934,0.9807367920875549,0.9666413068771362,0.6810702085494995,1.3264764547348022,0.20203050891044214,0.9854219307511872,0.22519928216934204,0.2017534375190735
