direction,model,seed,mean_cell_displacement,median_cell_displacement,max_cell_displacement,relative_frobenius_change,identical,integrity_max_latent_diff,integrity_max_variance_diff
direction_B,scvi_matched,18,0.0,0.0,0.0,0.0,True,0.0,0.0
direction_B,scvi_matched,19,0.0,0.0,0.0,0.0,True,0.0,0.0
direction_B,totalvi,0,0.015301241539418697,0.01526612974703312,0.027230942621827126,0.003122748574241996,False,0.0,0.0
direction_B,totalvi,1,0.019960341975092888,0.019504990428686142,0.03334725275635719,0.004046075511723757,False,0.0,0.0
direction_B,totalvi,2,0.014999240636825562,0.014637867920100689,0.026478275656700134,0.00299364747479558,False,0.0,0.0
direction_B,totalvi,3,0.01667308434844017,0.016544848680496216,0.02751469612121582,0.0034234016202390194,False,0.0,0.0
direction_B,totalvi,4,0.015372914262115955,0.015372123569250107,0.025102151557803154,0.003161086468026042,False,0.0,0.0
direction_B,totalvi,5,0.017354005947709084,0.017174132168293,0.028104497119784355,0.0034566903486847878,False,0.0,0.0
direction_B,totalvi,6,0.01672905869781971,0.016746018081903458,0.02508866786956787,0.0033333247993141413,False,0.0,0.0
direction_B,totalvi,7,0.01687455363571644,0.016785558313131332,0.026629438623785973,0.003185766050592065,False,0.0,0.0
direction_B,totalvi,8,0.013845705427229404,0.013740125112235546,0.020660674199461937,0.002766374498605728,False,0.0,0.0
direction_B,totalvi,9,0.015341023914515972,0.015301616862416267,0.024445535615086555,0.0030563464388251305,False,0.0,0.0
direction_B,totalvi,10,0.01641230285167694,0.016330910846590996,0.028873121365904808,0.0032195241656154394,False,0.0,0.0
direction_B,totalvi,11,0.017673766240477562,0.017543623223900795,0.02923729084432125,0.0036196261644363403,False,0.0,0.0
direction_B,totalvi,12,0.01836412027478218,0.018113747239112854,0.031820014119148254,0.003755460726097226,False,0.0,0.0
direction_B,totalvi,13,0.017362365499138832,0.01704386994242668,0.031774621456861496,0.0036504939198493958,False,0.0,0.0
direction_B,totalvi,14,0.01689440943300724,0.01677081361413002,0.02714410610496998,0.0033742066007107496,False,0.0,0.0
direction_B,totalvi,15,0.016123756766319275,0.016119427978992462,0.026608165353536606,0.0031827285420149565,False,0.0,0.0
direction_B,totalvi,16,0.015531046316027641,0.015297254547476768,0.025422804057598114,0.003187456401064992,False,0.0,0.0
direction_B,totalvi,17,0.01495913602411747,0.014804469421505928,0.027927158400416374,0.003131468314677477,False,0.0,0.0
direction_B,totalvi,18,0.015615971758961678,0.015378509648144245,0.02821313589811325,0.003376028500497341,False,0.0,0.0
direction_B,totalvi,19,0.020232271403074265,0.020005516707897186,0.03157225623726845,0.003968296572566032,False,0.0,0.0
