direction,model,ensemble_size,seed_subset_definition,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,nll,brier,ece,aurc,median_predictive_entropy,median_expected_entropy,median_ensemble_disagreement,median_variation_ratio
direction_A,scvi_matched,1,nested seeds 0-0,0.7907390917186109,0.6344938503113732,0.6510217830627849,0.7813507255044935,0.8270057291333888,0.5023948713811304,0.5863164383107541,0.2978095018790521,0.03541597877882043,0.06457015455461085,0.39156279121141396,0.39156279121141396,0.0,0.0
direction_A,scvi_matched,2,nested seeds 0-1,0.7984565152864351,0.6605291122940419,0.665177346830599,0.7890873341312674,0.8427542143213014,0.5360411002063735,0.5491404114789202,0.28259506183362865,0.018784594489330612,0.057405487141273435,0.460632947735459,0.4310638596993466,0.012797204639067528,0.0
direction_A,scvi_matched,3,nested seeds 0-2,0.8138913624220837,0.6783971773904703,0.6800381463039288,0.8025372599902745,0.8448477635970437,0.5207403900320087,0.5107577917297814,0.2644080861078857,0.019281013037221007,0.051069735925925695,0.47370295366657617,0.4331317073399834,0.023056530305312184,0.0
direction_A,scvi_matched,5,nested seeds 0-4,0.8192341941228851,0.6855505482753638,0.6872571993834176,0.8088076455847436,0.8508388662811452,0.5093010086132087,0.4956053804286345,0.25643430336095385,0.023016844042398534,0.04764521439942572,0.48681122731278637,0.4266468223224796,0.03348834365463493,0.0
direction_A,scvi_matched,10,nested seeds 0-9,0.8144850103888395,0.6760935978318878,0.6703033355608643,0.802451441960086,0.8529737609329446,0.5150853892099293,0.5041772930166956,0.25988751170209845,0.020200478640151336,0.04892590157552755,0.4942598976629488,0.42892696195710966,0.04764482136939008,0.0
direction_A,scvi_matched,15,nested seeds 0-14,0.8171564262392401,0.6869845708722919,0.6840447961970835,0.8064265596843531,0.8532663304730141,0.5114823257691093,0.4965363739357375,0.25702597122186394,0.024522797264705444,0.047893318787316876,0.4986922814551612,0.4306737681244012,0.05447689046172305,0.0
direction_A,scvi_matched,20,nested seeds 0-19,0.8189373701395073,0.6896700362025846,0.6882961724422348,0.8075429898800336,0.8563610003624502,0.5210010312158121,0.49060665779115287,0.2532282053023766,0.027153207112534727,0.046673658098909616,0.4964104452589211,0.42731743096872216,0.05818020163619281,0.0
direction_A,scvi_matched,5,"random draw 0: seeds [3, 8, 9, 12, 14]",0.811219946571683,0.6796099817190163,0.6801899178409863,0.8027893181508151,0.8601865851104712,0.5422797859614609,0.506750833484012,0.2590427695788728,0.02180471110414272,0.04853296972611984,0.496286387966359,0.4308704772881554,0.03970756849947765,0.0
direction_A,scvi_matched,5,"random draw 1: seeds [1, 3, 5, 7, 18]",0.8150786583555951,0.6817369910026705,0.6794351635990243,0.8025621700229972,0.8511320712806837,0.495479458094343,0.5036610283894111,0.25961193246561676,0.018982370996626058,0.0489735185736193,0.47090003457590035,0.41420242605735913,0.03366007562272533,0.0
direction_A,scvi_matched,5,"random draw 2: seeds [2, 4, 5, 8, 14]",0.8165627782724845,0.6740129251107686,0.6746469824437026,0.8052827854864304,0.8524908271072948,0.5177625255767125,0.49271616800934265,0.25535784032577497,0.015922223906228723,0.048607650041995,0.4548151325572991,0.3999889922839537,0.03452624828145062,0.0
