direction,model,coverage,cell_type,original_n,retained_n,retention_rate
direction_B,totalvi,0.6,pDC,24,22.9,0.9541666666666666
direction_B,totalvi,0.5,CD14 Mono,1237,1054.1,0.8521422797089733
direction_B,totalvi,0.5,CD4 Naive,795,333.9,0.42
direction_B,totalvi,0.5,NK,760,542.9,0.7143421052631579
direction_B,totalvi,0.5,CD4 TCM,580,115.0,0.19827586206896552
direction_B,totalvi,0.5,MAIT,356,11.2,0.031460674157303366
direction_B,totalvi,0.5,CD8 Naive,320,44.4,0.13874999999999998
direction_B,totalvi,0.5,B naive,315,276.45,0.8776190476190476
direction_B,totalvi,0.5,CD4 TEM,281,105.3,0.3747330960854092
direction_B,totalvi,0.5,CD8 TEM,246,117.5,0.47764227642276424
direction_B,totalvi,0.5,Treg,241,23.8,0.0987551867219917
direction_B,totalvi,0.5,Eryth,144,62.05,0.43090277777777775
direction_B,totalvi,0.5,cDC2,135,108.35,0.8025925925925925
direction_B,totalvi,0.5,CD16 Mono,103,94.0,0.912621359223301
direction_B,totalvi,0.5,B memory,99,34.0,0.3434343434343434
direction_B,totalvi,0.5,CD8 TCM,77,6.75,0.08766233766233766
direction_B,totalvi,0.5,B intermediate,68,7.5,0.11029411764705882
direction_B,totalvi,0.5,ILC,65,8.1,0.12461538461538461
direction_B,totalvi,0.5,gdT,59,3.5,0.059322033898305086
direction_B,totalvi,0.5,NK_CD56bright,35,9.05,0.2585714285714286
direction_B,totalvi,0.5,CD4 CTL,24,2.35,0.09791666666666667
direction_B,totalvi,0.5,pDC,24,21.8,0.9083333333333333
