model,uncertainty,instability,mean_top20,mean_bottom20,ratio_top_over_bottom,mannwhitney_p,n_top,n_bottom
scvi_matched,predictive_uncertainty,source_subset_variation_ratio,0.2743116490166414,0.0,inf,1.3356325636283447e-242,661,661
scvi_matched,predictive_uncertainty,model_seed_variation_ratio,0.2574281391830559,0.0,inf,1.3462970893423357e-242,661,661
scvi_matched,predictive_uncertainty,source_subset_trueclass_var,0.026966502727307308,5.181671154948701e-05,520.4209592025776,2.969162169414674e-216,661,661
scvi_matched,predictive_uncertainty,model_seed_trueclass_var,0.02276106905932597,4.9434146592355836e-05,460.43212290116867,3.401036566774557e-216,661,661
scvi_matched,latent_uncertainty,source_subset_variation_ratio,0.1042057488653555,0.07364599092284416,1.4149548069022186,1.3180875789483087e-05,661,661
scvi_matched,latent_uncertainty,model_seed_variation_ratio,0.09700453857791223,0.06892586989409984,1.4073748902546093,9.856062096138722e-06,661,661
scvi_matched,latent_uncertainty,source_subset_trueclass_var,0.014164857390824757,0.015361112299448582,0.9221244604359303,0.14303229647056245,661,661
scvi_matched,latent_uncertainty,model_seed_trueclass_var,0.012145741781385716,0.012719214608666943,0.9549128743459947,0.03185359130087225,661,661
scvi_matched,ensemble_disagreement,source_subset_variation_ratio,0.25585476550680786,0.0,inf,1.687103911119977e-229,661,661
scvi_matched,ensemble_disagreement,model_seed_variation_ratio,0.24145234493192128,0.0,inf,1.6557872329383673e-229,661,661
scvi_matched,ensemble_disagreement,source_subset_trueclass_var,0.02930139615214164,6.0345055042052336e-05,485.5641631567414,3.275937215425011e-215,661,661
scvi_matched,ensemble_disagreement,model_seed_trueclass_var,0.025076755058541154,5.642852137850382e-05,444.3985850760574,3.442777400675582e-215,661,661
scvi_matched,correct_vs_incorrect,source_subset_variation_ratio,0.20381282495667238,0.07212609970674484,2.825784643635914,2.975548134580599e-110,577,2728
scvi_matched,correct_vs_incorrect,model_seed_variation_ratio,0.19181975736568455,0.06781524926686215,2.828563773478852,4.057854562930871e-111,577,2728
scvi_matched,correct_vs_incorrect,source_subset_trueclass_var,0.018911349123092166,0.01436394741995366,1.3165844019187571,1.2217620597195891e-26,577,2728
scvi_matched,correct_vs_incorrect,model_seed_trueclass_var,0.01586462314556142,0.01247104950713546,1.272116122743662,6.4340302186784215e-25,577,2728
totalvi,predictive_uncertainty,source_subset_variation_ratio,0.2790317700453857,0.0,inf,7.379296944971669e-248,661,661
totalvi,predictive_uncertainty,model_seed_variation_ratio,0.26729198184568825,0.0,inf,7.242433803136401e-248,661,661
totalvi,predictive_uncertainty,source_subset_trueclass_var,0.032316446410521255,9.552457904374626e-05,338.30503870340715,7.998018710735622e-216,661,661
totalvi,predictive_uncertainty,model_seed_trueclass_var,0.030046966446574647,9.750641706827465e-05,308.15373336439546,2.2114208526460024e-215,661,661
totalvi,latent_uncertainty,source_subset_variation_ratio,0.1379727685325264,0.025173978819969734,5.48076923076923,2.6833419054256233e-95,661,661
totalvi,latent_uncertainty,model_seed_variation_ratio,0.13409984871406955,0.02656580937972768,5.047835990888382,1.0317949391778568e-93,661,661
totalvi,latent_uncertainty,source_subset_trueclass_var,0.024717704768420626,0.0062036033909666,3.9844108674667056,6.933471677572932e-111,661,661
totalvi,latent_uncertainty,model_seed_trueclass_var,0.023686429140300176,0.007044701102032806,3.362304347229901,7.442787625864368e-100,661,661
totalvi,ensemble_disagreement,source_subset_variation_ratio,0.24574886535552184,0.0,inf,2.1232334738871648e-237,661,661
totalvi,ensemble_disagreement,model_seed_variation_ratio,0.24054462934947046,0.0,inf,2.0955028570619024e-237,661,661
totalvi,ensemble_disagreement,source_subset_trueclass_var,0.03257171592302295,9.170679297375714e-05,355.1723363867242,6.565436873693891e-215,661,661
totalvi,ensemble_disagreement,model_seed_trueclass_var,0.030791031962030913,9.471755285567138e-05,325.082638156305,3.466135625202307e-214,661,661
totalvi,correct_vs_incorrect,source_subset_variation_ratio,0.22899817850637516,0.06015965166908561,3.8065077199250315,3.0134101064569785e-167,549,2756
totalvi,correct_vs_incorrect,model_seed_variation_ratio,0.2199635701275045,0.058955007256894024,3.7310413544522567,1.111321997354491e-165,549,2756
totalvi,correct_vs_incorrect,source_subset_trueclass_var,0.021864032137290847,0.015759852399598255,1.3873246768382297,3.1441685823944764e-27,549,2756
totalvi,correct_vs_incorrect,model_seed_trueclass_var,0.02027624155764873,0.01497804510205843,1.3537308386701392,7.30669140571566e-24,549,2756
