tag,direction,model,model_seed,subset_seed,src_epochs,query_epochs,runtime,gpu_alloc,gpu_res,rss,integrity_latent,integrity_var,integrity_pass,drift_mean,drift_median,drift_frob,drift_identical,u_latent
direction_A__scvi_matched__subset2__seed02,direction_A,scvi_matched,2,2.0,200,200,122.98660331599967,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.10740413516759872
direction_A__scvi_matched__subset2__seed03,direction_A,scvi_matched,3,2.0,200,200,121.32314177899752,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.09023161232471466
direction_A__scvi_matched__subset2__seed04,direction_A,scvi_matched,4,2.0,200,200,123.51591623499917,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.08003853261470795
direction_A__scvi_matched__subset3__seed00,direction_A,scvi_matched,0,3.0,200,200,122.68774335900162,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.11830379068851471
direction_A__scvi_matched__subset3__seed01,direction_A,scvi_matched,1,3.0,200,200,121.66989443599596,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.10314034670591354
direction_A__scvi_matched__subset3__seed02,direction_A,scvi_matched,2,3.0,200,200,123.16564198199922,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.09640197455883026
direction_A__scvi_matched__subset3__seed03,direction_A,scvi_matched,3,3.0,200,200,121.6180117119984,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.08118230104446411
direction_A__scvi_matched__subset3__seed04,direction_A,scvi_matched,4,3.0,200,200,123.873866007998,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.11085948348045349
direction_A__scvi_matched__subset4__seed00,direction_A,scvi_matched,0,4.0,200,200,121.7939191330006,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.08303721994161606
direction_A__scvi_matched__subset4__seed01,direction_A,scvi_matched,1,4.0,200,200,121.48402923499816,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.08834303915500641
direction_A__scvi_matched__subset4__seed02,direction_A,scvi_matched,2,4.0,200,200,122.42929508000088,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.09021886438131332
direction_A__scvi_matched__subset4__seed03,direction_A,scvi_matched,3,4.0,200,200,120.45491706399844,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.0913386344909668
direction_A__scvi_matched__subset4__seed04,direction_A,scvi_matched,4,4.0,200,200,122.08295949800231,309.50439453125,320.0,2830.48046875,0.0,0.0,True,0.0,0.0,0.0,True,0.1129179447889328
direction_A__totalvi__seed00,direction_A,totalvi,0,,200,200,260.67284784799995,379.4755859375,400.0,2873.08203125,0.0,0.0,True,0.016173647716641426,0.016178734600543976,0.0034288002643734217,False,0.025774046778678894
direction_A__totalvi__seed01,direction_A,totalvi,1,,200,200,262.3390511999969,379.4755859375,400.0,3741.2109375,0.0,0.0,True,0.016905874013900757,0.01692630723118782,0.003475789912045002,False,0.025073152035474777
direction_A__totalvi__seed02,direction_A,totalvi,2,,200,200,261.3075397719949,379.4755859375,400.0,4008.26953125,0.0,0.0,True,0.015297392383217812,0.01522249635308981,0.0032640490680933,False,0.027084365487098694
direction_A__totalvi__seed03,direction_A,totalvi,3,,190,200,255.011727238998,379.4755859375,400.0,4334.765625,0.0,0.0,True,0.01697172224521637,0.016911493614315987,0.003591588232666254,False,0.024938102811574936
direction_A__totalvi__seed04,direction_A,totalvi,4,,200,200,279.1913811139966,379.4755859375,400.0,4617.2421875,0.0,0.0,True,0.018358301371335983,0.018166353926062584,0.0037570055574178696,False,0.026255592703819275
direction_A__totalvi__seed05,direction_A,totalvi,5,,185,200,270.1816615739999,379.4755859375,400.0,6736.1171875,0.0,0.0,True,0.013797483406960964,0.01378963328897953,0.002863475354388356,False,0.025495454668998718
direction_A__totalvi__seed06,direction_A,totalvi,6,,200,200,283.61206882400074,379.4755859375,400.0,6736.1171875,0.0,0.0,True,0.01653924025595188,0.016411442309617996,0.003450463293120265,False,0.027907641604542732
direction_A__totalvi__seed07,direction_A,totalvi,7,,197,200,275.07768175600086,379.4755859375,400.0,6864.2734375,0.0,0.0,True,0.015681592747569084,0.01559941191226244,0.0032901065424084663,False,0.02366766706109047
direction_A__totalvi__seed08,direction_A,totalvi,8,,200,200,283.837001076,379.4755859375,400.0,6864.2734375,0.0,0.0,True,0.015832185745239258,0.015844734385609627,0.0033191360998898745,False,0.02596903219819069
direction_A__totalvi__seed09,direction_A,totalvi,9,,200,200,270.4263121599997,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.017878232523798943,0.017787963151931763,0.003704256843775511,False,0.02521440014243126
direction_A__totalvi__seed10,direction_A,totalvi,10,,199,200,271.4143904530001,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.01949486695230007,0.019432196393609047,0.003937157336622477,False,0.029804423451423645
direction_A__totalvi__seed11,direction_A,totalvi,11,,200,200,276.7924530549999,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.020805904641747475,0.020717307925224304,0.004273184575140476,False,0.027253063395619392
direction_A__totalvi__seed12,direction_A,totalvi,12,,200,200,275.36976178999976,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.016927963122725487,0.01691213808953762,0.003569758962839842,False,0.025801993906497955
direction_A__totalvi__seed13,direction_A,totalvi,13,,180,200,258.49950686599914,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.01921677403151989,0.019041767343878746,0.004017504397779703,False,0.02615249902009964
direction_A__totalvi__seed14,direction_A,totalvi,14,,200,200,273.6267215300013,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.015089564956724644,0.015087686479091644,0.0032178417313843966,False,0.024891100823879242
direction_A__totalvi__seed15,direction_A,totalvi,15,,196,200,269.41587599600007,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.014569138176739216,0.014516960829496384,0.003060642397031188,False,0.023563237860798836
direction_A__totalvi__seed16,direction_A,totalvi,16,,200,200,275.691612697,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.01758158579468727,0.01757373847067356,0.0036612555850297213,False,0.02452729642391205
direction_A__totalvi__seed17,direction_A,totalvi,17,,200,200,274.54004500799965,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.016687428578734398,0.016683312132954597,0.0035334364511072636,False,0.024524560198187828
direction_A__totalvi__seed18,direction_A,totalvi,18,,200,200,274.66355308499806,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.014672902412712574,0.014663495123386383,0.0030767470598220825,False,0.026186183094978333
direction_A__totalvi__seed19,direction_A,totalvi,19,,200,200,275.5210302329997,379.4755859375,400.0,2809.234375,0.0,0.0,True,0.018350955098867416,0.018284987658262253,0.0038672706577926874,False,0.02824929729104042
