direction,seed,metric,delta_mean_bootstrap,cell_bootstrap_ci_low,cell_bootstrap_ci_high,excludes_zero
direction_A,0,error_auroc_predictive,0.04127363803405781,0.027900587485964832,0.05751084789693692,True
direction_A,0,error_auprc_predictive,0.04073308187163519,-0.008880303204410436,0.09734869093569672,False
direction_A,0,ece_equal_frequency,-0.008969088125924183,-0.02098893409732561,0.00363673739805353,False
direction_A,0,brier,-0.04433916564241592,-0.05490492654763851,-0.0317232673545899,True
direction_A,0,aurc,-0.019768451963327792,-0.024365560661942294,-0.014959554423797585,True
direction_A,1,error_auroc_predictive,-0.01699209075021877,-0.0346311328265954,-0.00011589260746835956,True
direction_A,1,error_auprc_predictive,-0.060883463072282054,-0.12138665508364306,-0.009012052375864412,True
direction_A,1,ece_equal_frequency,-0.008366424901349567,-0.01976634954901524,0.004911297118431135,False
direction_A,1,brier,-0.03938312195495258,-0.05283592000729639,-0.025087288069651673,True
direction_A,1,aurc,-0.008894375995341033,-0.014699437168685178,-0.0028188484538050006,True
direction_A,2,error_auroc_predictive,-0.006367942953572372,-0.02159022452002331,0.011260758448825643,False
direction_A,2,error_auprc_predictive,-0.04312343143935578,-0.09912424776829479,0.010207664790029427,False
direction_A,2,ece_equal_frequency,0.0018170408578575738,-0.010197054679124299,0.014542861060126307,False
direction_A,2,brier,-0.0004525803382298101,-0.00952910638958371,0.00966330164352254,False
direction_A,2,aurc,0.0007298480822913266,-0.0030848416095887498,0.0044652889761352555,False
direction_A,3,error_auroc_predictive,-0.009737481496302349,-0.024462719544963672,0.005041880699481584,False
direction_A,3,error_auprc_predictive,-0.035481208466423136,-0.08763650681901611,0.01608240599994999,False
direction_A,3,ece_equal_frequency,0.0075865540668903515,-0.004459632119193176,0.020337239339390384,False
direction_A,3,brier,-0.008390252418876419,-0.01816418405693756,0.0015135763968265289,False
direction_A,3,aurc,-0.0012097962424404063,-0.005232140456737926,0.0028393525295355437,False
direction_A,4,error_auroc_predictive,0.0022710357448504077,-0.013788453709078169,0.016985190546548963,False
direction_A,4,error_auprc_predictive,0.005023419355618517,-0.05211340002959024,0.05455156160743817,False
direction_A,4,ece_equal_frequency,-0.016025104313699592,-0.02677956561893269,-0.005585560788649005,True
direction_A,4,brier,-0.01515499728867319,-0.025600182634181658,-0.005152767984063959,True
direction_A,4,aurc,-0.002675834125092057,-0.007021588341051833,0.0010768140575034269,False
direction_A,5,error_auroc_predictive,0.02246875235390596,0.00493232395657005,0.03805769536155714,True
direction_A,5,error_auprc_predictive,0.005745101103469721,-0.04692605072416703,0.056957880155626854,False
direction_A,5,ece_equal_frequency,-0.024587904564127367,-0.0395505688473047,-0.009196823547434193,True
direction_A,5,brier,-0.051569986519311065,-0.06319474488484399,-0.04064391960638581,True
direction_A,5,aurc,-0.020905020154139094,-0.025878610485406038,-0.016327595843660482,True
