direction,model,coverage,max_retention_rate,min_retention_rate,retention_range,retention_cv,n_cell_types
direction_A,scvi_matched,1.0,1.0,1.0,0.0,0.0,22
direction_A,scvi_matched,0.9,1.0,0.6178571428571429,0.3821428571428571,0.14874096534729248,22
direction_A,scvi_matched,0.8,0.9978260869565218,0.4573170731707317,0.54050901378579,0.2565337900608911,22
direction_A,scvi_matched,0.7,0.982608695652174,0.2634146341463415,0.7191940615058325,0.40169229482930174,22
direction_A,scvi_matched,0.6,0.9623505976095618,0.12804878048780488,0.8343018171217569,0.5952096445092221,22
direction_A,scvi_matched,0.5,0.9302788844621513,0.01951219512195122,0.9107666893402001,0.8799870297169129,22
direction_A,totalvi,1.0,1.0,1.0,0.0,0.0,22
direction_A,totalvi,0.9,0.996414342629482,0.49558823529411766,0.5008261073353644,0.17084035528255934,22
direction_A,totalvi,0.8,0.9942231075697212,0.29264705882352937,0.7015760487461918,0.2930891409886703,22
direction_A,totalvi,0.7,0.9892430278884463,0.13529411764705881,0.8539489102413875,0.45488957499891813,22
direction_A,totalvi,0.6,0.9794820717131474,0.051470588235294115,0.9280114834778532,0.6567157383028636,22
direction_A,totalvi,0.5,0.9571713147410359,0.01911764705882353,0.9380536676822123,0.9467787214146401,22
direction_B,scvi_matched,1.0,1.0,1.0,0.0,0.0,21
direction_B,scvi_matched,0.9,0.9997170573969282,0.5025974025974026,0.4971196547995256,0.1862030512444649,21
direction_B,scvi_matched,0.8,0.9958333333333332,0.3077922077922078,0.6880411255411254,0.33160592402281397,21
direction_B,scvi_matched,0.7,0.9854166666666666,0.16165730337078651,0.8237593632958801,0.5215097137415149,21
direction_B,scvi_matched,0.6,0.9729166666666668,0.05294943820224719,0.9199672284644196,0.7585980153220159,21
direction_B,scvi_matched,0.5,0.9106796116504854,0.012640449438202247,0.8980391622122832,1.0208545811461842,21
direction_B,totalvi,1.0,1.0,1.0,0.0,0.0,21
direction_B,totalvi,0.9,0.9976960388035571,0.5700842696629214,0.4276117691406357,0.17897554024785367,21
direction_B,totalvi,0.8,0.9874999999999999,0.3377808988764045,0.6497191011235954,0.3054539959760884,21
direction_B,totalvi,0.7,0.9708333333333333,0.1773876404494382,0.7934456928838951,0.45101664580962386,21
direction_B,totalvi,0.6,0.9541666666666666,0.08356741573033707,0.8705992509363295,0.6196217996921136,21
direction_B,totalvi,0.5,0.912621359223301,0.031460674157303366,0.8811606850659977,0.8072393286727089,21
