direction,seed,metric,scvi,totalvi,delta
direction_A,0,macro_f1,0.6510217830627849,0.6357672182574826,-0.015254564805302295
direction_A,1,macro_f1,0.6441927129587905,0.6553804895452042,0.011187776586413678
direction_A,2,macro_f1,0.6850659240505798,0.6646659421957736,-0.020399981854806182
direction_A,3,macro_f1,0.6651163604208098,0.6402745954658015,-0.02484176495500834
direction_A,4,macro_f1,0.6577255382600048,0.6678916332453284,0.010166094985323615
direction_A,5,macro_f1,0.6364187016448626,0.684404244808529,0.04798554316366643
direction_A,6,macro_f1,0.6309097003644198,0.6677475414251971,0.036837841060777254
direction_A,7,macro_f1,0.6317213569160848,0.6386722770179266,0.00695092010184184
direction_A,8,macro_f1,0.6605753779055847,0.6607205038657111,0.000145125960126391
direction_A,9,macro_f1,0.6216009202299225,0.6440192729368367,0.02241835270691417
direction_A,10,macro_f1,0.6497789763880057,0.6435056918279226,-0.006273284560083137
direction_A,11,macro_f1,0.6561055124868965,0.6631655569496803,0.007060044462783743
direction_A,12,macro_f1,0.6632728270657727,0.6530894314011122,-0.010183395664660533
direction_A,13,macro_f1,0.6708053391551421,0.631089752453841,-0.03971558670130104
direction_A,14,macro_f1,0.660432161146237,0.6500319389207244,-0.010400222225512623
direction_A,15,macro_f1,0.6548419379111673,0.6613892420761132,0.006547304164945866
direction_A,16,macro_f1,0.6508754327188956,0.654482613762306,0.0036071810434104012
direction_A,17,macro_f1,0.6539423546879054,0.6598155213360545,0.005873166648149075
direction_A,18,macro_f1,0.6870810379356025,0.6234063440154507,-0.06367469392015179
direction_A,19,macro_f1,0.6809666573326228,0.6481324497919613,-0.032834207540661575
direction_A,0,accuracy,0.7907390917186109,0.8165627782724845,0.02582368655387357
direction_A,1,accuracy,0.777975660433363,0.8159691303057287,0.03799346987236574
direction_A,2,accuracy,0.8165627782724845,0.8177500742059959,0.001187295933511412
direction_A,3,accuracy,0.8026120510537251,0.8150786583555951,0.012466607301869992
direction_A,4,accuracy,0.7960819234194123,0.8032056990204809,0.007123775601068583
direction_A,5,accuracy,0.7886613238349659,0.8299198575244879,0.04125853368952204
direction_A,6,accuracy,0.7916295636687445,0.8248738498070645,0.03324428613831998
direction_A,7,accuracy,0.7928168596022559,0.809142178688038,0.016325319085782053
direction_A,8,accuracy,0.7895517957850995,0.8204214900563965,0.030869694271297043
direction_A,9,accuracy,0.7663995250816266,0.8147818343722173,0.04838230929059073
direction_A,10,accuracy,0.7824280201840309,0.8165627782724845,0.034134758088453565
direction_A,11,accuracy,0.7877708518848323,0.8180468981893737,0.030276046304541393
direction_A,12,accuracy,0.7889581478183437,0.8150786583555951,0.026120510537251396
direction_A,13,accuracy,0.7913327396853665,0.7996438112199465,0.008311071534579995
direction_A,14,accuracy,0.8005342831700801,0.8150786583555951,0.01454437518551499
direction_A,15,accuracy,0.790442267735233,0.8192341941228851,0.028791926387652156
direction_A,16,accuracy,0.8023152270703473,0.8130008904719501,0.010685663401602818
direction_A,17,accuracy,0.7919263876521223,0.8040961709706145,0.012169783318492167
direction_A,18,accuracy,0.8127040664885723,0.8035025230038587,-0.009201543484713581
direction_A,19,accuracy,0.8150786583555951,0.8005342831700801,-0.01454437518551499
direction_A,0,error_auroc_predictive,0.8270057291333888,0.8682297346419484,0.04122400550855965
direction_A,1,error_auroc_predictive,0.8502311645757119,0.8338592332695761,-0.01637193130613579
direction_A,2,error_auroc_predictive,0.8434896871864188,0.8372984860218613,-0.006191201164557514
direction_A,3,error_auroc_predictive,0.8594112870934734,0.8486822800185648,-0.010729007074908536
direction_A,4,error_auroc_predictive,0.8452153393098851,0.8478519328591064,0.0026365935492213
direction_A,5,error_auroc_predictive,0.8274422449920286,0.8497613768859529,0.022319131893924316
direction_A,6,error_auroc_predictive,0.8461821545811048,0.8549359298857656,0.008753775304660816
direction_A,7,error_auroc_predictive,0.843246307844309,0.8552941606030974,0.012047852758788391
direction_A,8,error_auroc_predictive,0.8338226560760151,0.8552732295989762,0.02145057352296109
direction_A,9,error_auroc_predictive,0.8523248134627669,0.856551538928588,0.004226725465821146
direction_A,10,error_auroc_predictive,0.8559984846195091,0.8434767469081558,-0.012521737711353342
direction_A,11,error_auroc_predictive,0.8550566238584324,0.8507000594283982,-0.004356564430034182
direction_A,12,error_auroc_predictive,0.8385184338551772,0.862473827391133,0.02395539353595577
direction_A,13,error_auroc_predictive,0.8296119193382984,0.8525777447826447,0.022965825444346333
direction_A,14,error_auroc_predictive,0.8505559528223599,0.841154622687721,-0.009401330134638841
