fold,donor,model,seed,n_cells,n_present_classes,present_classes,present_class_macro_f1,fixed_ontology_macro_f1,accuracy,balanced_accuracy,predictive_error_auroc,predictive_error_auprc,latent_error_auroc,latent_error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,risk_100,risk_90,risk_80,risk_70,risk_60,risk_50,error_prevalence
0,Donor01,scvi_matched,0,387,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8053957091024182,0.8053957091024182,0.7596899224806202,0.8111865450446689,0.7936873674200864,0.524851198358298,0.5860946529149295,0.35406013148895765,0.5743474960327148,0.3294002413749695,0.04480604222886632,0.03608855012159324,0.08882393345636268,0.15991689554517957,0.05700060781207963,0.24031007751937983,0.1954022988505747,0.16774193548387095,0.1439114391143912,0.125,0.08247422680412375,0.24031007751937986
0,Donor02,scvi_matched,0,289,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7716525021518265,0.7716525021518265,0.7785467128027682,0.7769611771677255,0.8310416666666667,0.5259920535917764,0.6038888888888889,0.3293616586429137,0.5267916917800903,0.2970188856124878,0.04991318465929131,0.052515962957098435,0.06901666448676833,0.12931624101696193,0.042071451895671894,0.22145328719723179,0.18461538461538463,0.1341991341991342,0.11386138613861385,0.08670520231213874,0.05555555555555558,0.22145328719723184
0,Donor01,scvi_matched,1,387,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7985460310072953,0.7985460310072953,0.751937984496124,0.8075577147866745,0.8106028064146621,0.5686000510754249,0.551725372279496,0.28221906732615976,0.5943798422813416,0.3370954990386963,0.03144498019255409,0.03362279383403078,0.08734791016947958,0.15916168052628807,0.05334431422530884,0.24806201550387597,0.20114942528735635,0.17096774193548392,0.1512915129151291,0.11206896551724133,0.07731958762886593,0.24806201550387597
0,Donor02,scvi_matched,1,289,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7785849713202294,0.7785849713202294,0.7785467128027682,0.7799895815119192,0.8210416666666667,0.526115062539714,0.6615277777777777,0.32942251678464385,0.5435040593147278,0.30488428473472595,0.04560782175163084,0.043613037332944006,0.07158811365396381,0.13441158989855476,0.04464290106286738,0.22145328719723179,0.1807692307692308,0.1428571428571429,0.1089108910891089,0.09248554913294793,0.05555555555555558,0.22145328719723184
0,Donor01,scvi_matched,2,387,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8177989644522771,0.8177989644522771,0.7829457364341085,0.8182093347043822,0.8250825082508251,0.5719859325586245,0.5591309130913091,0.23904668596172587,0.540653645992279,0.30486881732940674,0.05199018467304318,0.05404787439400528,0.07010077366503822,0.12670834748471765,0.04434682333235436,0.21705426356589153,0.16666666666666663,0.1387096774193548,0.1070110701107011,0.09051724137931039,0.0670103092783505,0.21705426356589147
0,Donor02,scvi_matched,2,289,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7850774199347051,0.7850774199347051,0.7854671280276817,0.7832857337141303,0.8016910615319028,0.48459297891701403,0.6537587039931789,0.3241955791421847,0.5586886405944824,0.31074467301368713,0.05882905036932869,0.06860692783623004,0.07223748006880734,0.13689297327772512,0.047005917487724105,0.2145328719723183,0.18846153846153846,0.16450216450216448,0.1188118811881188,0.08092485549132944,0.04861111111111116,0.21453287197231835
0,Donor01,scvi_matched,3,387,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8076014439640729,0.8076014439640729,0.7622739018087855,0.811139406083883,0.8391304347826087,0.5836761552667576,0.5643699336772292,0.28607234399230363,0.5618371367454529,0.31581956148147583,0.05142646927858199,0.05081001286050763,0.07454326523342994,0.13768906044959953,0.04342907820096695,0.23772609819121449,0.1839080459770115,0.14516129032258063,0.12177121771217714,0.09051724137931039,0.05670103092783507,0.23772609819121446
0,Donor02,scvi_matched,3,289,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.7651399953920963,0.7651399953920963,0.7681660899653979,0.7663745118610479,0.8478553180045718,0.6160213518566828,0.6581282775312627,0.33081135574102605,0.5324500799179077,0.3022984266281128,0.08019784185713137,0.06006062762960018,0.06873031953830996,0.13315882166010076,0.03909911851407531,0.23183391003460208,0.16923076923076918,0.1428571428571429,0.11386138613861385,0.09826589595375723,0.04166666666666663,0.23183391003460208
0,Donor01,scvi_matched,4,387,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.8245933232191398,0.8245933232191398,0.7881136950904393,0.8249278320585158,0.7764094362255098,0.44420954280986097,0.608076769292283,0.2800711095741036,0.5768426060676575,0.3185048997402191,0.05329897460703395,0.0551692339801049,0.07936753636373056,0.14341937983642006,0.05486779443721915,0.21188630490956073,0.18678160919540232,0.1483870967741936,0.12915129151291516,0.11206896551724133,0.0670103092783505,0.21188630490956073
0,Donor02,scvi_matched,4,289,7,B;CD14_Mono;CD4T_Mem;CD4T_Naive;CD8T_Mem;CD8T_Naive;NK,0.781335730168356,0.781335730168356,0.7854671280276817,0.7818498523440384,0.8343754440812846,0.5578433996561796,0.5142106011084269,0.22538949813646827,0.5419838428497314,0.2956664264202118,0.046708948884455814,0.04420259409297295,0.06464931299180472,0.12429163771409474,0.039417750410721486,0.2145328719723183,0.17307692307692313,0.1341991341991342,0.1089108910891089,0.08670520231213874,0.02777777777777779,0.21453287197231835
