model,metric,estimator,source_subset_variance_raw,source_subset_variance_nonnegative,source_subset_fraction,model_seed_variance_raw,model_seed_variance_nonnegative,model_seed_fraction,interaction_variance_raw,interaction_variance_nonnegative,interaction_fraction,residual_variance_raw,residual_variance_nonnegative,residual_fraction,ms_source_subset,ms_model_seed,ms_interaction,ms_residual,df_source_subset,df_model_seed,df_interaction,df_residual,f_interaction_over_residual,f_source_over_interaction,f_seed_over_interaction,p_interaction,p_source_subset,p_model_seed,total_variance_nonnegative,grand_mean,n_levels_source_subset,n_levels_model_seed,n_replicates,any_raw_component_negative,reml_status,reml_equals_mom_balanced
scvi_matched,aurc,MoM_EMS,2.295002850688426e-06,2.295002850688426e-06,0.06134398158063015,3.656309074334239e-06,3.656309074334239e-06,0.09773084004744045,1.2459751584156174e-05,1.2459751584156174e-05,0.3330413168978981,1.9000966025811296e-05,1.9000966025811296e-05,0.5078838614740313,6.68704977010079e-05,8.048355993746603e-05,4.3920469194123644e-05,1.9000966025811296e-05,4,4,16,25,2.3114861178353348,1.522536050456284,1.8324840652711962,0.029288386365065183,0.24281496941081687,0.171945093068205,3.7412029534990136e-05,0.07183502389489399,5,5,2,False,statsmodels_unavailable,True
scvi_matched,brier,MoM_EMS,1.745072801943325e-05,1.745072801943325e-05,0.0702997966096164,2.180076771651396e-05,2.180076771651396e-05,0.08782381655927023,6.770391112374364e-05,6.770391112374364e-05,0.27274341657118445,0.00014127757333425383,0.00014127757333425383,0.5691329702599288,0.0004511926757760736,0.0004946930727468807,0.0002766853955817411,0.00014127757333425383,4,4,16,25,1.9584523505873144,1.6307065099241127,1.7879262174527517,0.06395508250583282,0.21513254465501125,0.18062666783309442,0.0002482329801939447,0.319768178495212,5,5,2,False,statsmodels_unavailable,True
scvi_matched,ece,MoM_EMS,2.9445572248251837e-06,2.9445572248251837e-06,0.024295031430825134,-1.695771284193078e-07,0.0,0.0,1.13618537661448e-05,1.13618537661448e-05,0.09374468664887806,0.00010689356494687458,0.00010689356494687458,0.8819602819202969,0.00015906284472741602,0.0001279215011949711,0.00012961727247916418,0.00010689356494687458,4,4,16,25,1.212582558581362,1.227173212991233,0.986917088658337,0.32402635612909103,0.3384210479483261,0.4425704891342387,0.00012119997593784457,0.03756363045808582,5,5,2,True,statsmodels_unavailable,True
scvi_matched,error_auprc,MoM_EMS,7.371164161318149e-06,7.371164161318149e-06,0.011367195995818546,-5.295516292662981e-05,0.0,0.0,0.00018411901683731673,0.00018411901683731673,0.28393302674362475,0.00045696913685157656,0.00045696913685157656,0.7046997772605568,0.0008989188121393915,0.0002956555412599119,0.00082520717052621,0.00045696913685157656,4,4,16,25,1.8058269234804736,1.089325013458351,0.35828038318108796,0.08988046405682681,0.3949488432331636,0.8345505302413023,0.0006484593178502114,0.5529434538665942,5,5,2,True,statsmodels_unavailable,True
scvi_matched,error_auroc,MoM_EMS,-3.293082272097781e-06,0.0,0.0,5.920857392708561e-06,5.920857392708561e-06,0.08445125600986955,1.4515404502244596e-05,1.4515404502244596e-05,0.20703828185686057,4.967349931471562e-05,4.967349931471562e-05,0.7085104621332697,4.5773485598227004e-05,0.00013791288224629042,7.870430831920481e-05,4.967349931471562e-05,4,4,16,25,1.584432532537302,0.5815880550348184,1.7522913953700041,0.14686754242027972,0.6803606961304364,0.18790241970288168,7.010976120966879e-05,0.8381371215953203,5,5,2,True,statsmodels_unavailable,True
scvi_matched,macro_f1,MoM_EMS,7.952434194436792e-06,7.952434194436792e-06,0.023131152504513332,-3.890053775568105e-06,0.0,0.0,0.00012189287265749667,0.00012189287265749667,0.35454837571950043,0.00021395227058763073,0.00021395227058763073,0.6223204717759862,0.000537262357846992,0.000418837478146943,0.00045773801590262407,0.00021395227058763073,4,4,16,25,2.139439860326901,1.1737333129029104,0.915015715531138,0.04277854764420846,0.3593455899849297,0.47903222250559063,0.0003437975774395642,0.5972056183036175,5,5,2,True,statsmodels_unavailable,True
scvi_matched,nll,MoM_EMS,0.00010719668328577693,0.00010719668328577693,0.10230727891788229,0.0001761613961065834,0.0001761613961065834,0.16812640590747682,0.00028194268739392713,0.00028194268739392713,0.2690828510166693,0.0004824905968352508,0.0004824905968352508,0.4604834641579716,0.0021183428044808743,0.002807989932688939,0.001046375971623105,0.0004824905968352508,4,4,16,25,2.168697127957493,2.024456659870513,2.6835382394468352,0.04009810078062265,0.13930450917423845,0.06933122050995803,0.0010477913636215382,0.6305192344367394,5,5,2,False,statsmodels_unavailable,True
totalvi,aurc,MoM_EMS,-3.7790286521605978e-06,0.0,0.0,1.6893190608379093e-06,1.6893190608379093e-06,0.04024412168786593,7.116786079961517e-06,7.116786079961517e-06,0.16954097758562062,3.317068525707025e-05,3.317068525707025e-05,0.7902149007265135,9.613970895387306e-06,6.429744802537237e-05,4.740425741699328e-05,3.317068525707025e-05,4,4,16,25,1.4291009380606385,0.2028081741860791,1.3563644180685612,0.20599189568303347,0.9331256807016206,0.29265706434892297,4.197679039786967e-05,0.05884715836184868,5,5,2,True,statsmodels_unavailable,True
totalvi,brier,MoM_EMS,-1.0479311601022426e-05,0.0,0.0,5.945110642717471e-06,5.945110642717471e-06,0.027857823411954797,2.4514305050159316e-05,2.4514305050159316e-05,0.11487005409910654,0.00018294959888814785,0.00018294959888814785,0.8572721224889387,0.00012718509297824222,0.0002914293154156412,0.0002319782089884665,0.00018294959888814785,4,4,16,25,1.2679897108180809,0.548263104249441,1.2562788405273468,0.2893795274549771,0.7029647520937199,0.32752958372232227,0.00021340901458102464,0.2866171453197941,5,5,2,True,statsmodels_unavailable,True
totalvi,ece,MoM_EMS,2.867120311192436e-06,2.867120311192436e-06,0.02458712487156854,3.7971669346141425e-06,3.7971669346141425e-06,0.03256278336667359,-8.60052795659794e-06,0.0,0.0,0.00010994635048304175,0.00010994635048304175,0.9428500917617578,0.00012141649768177023,0.0001307169639159873,9.274529456984587e-05,0.00010994635048304175,4,4,16,25,0.8435504604052411,1.3091391670585752,1.4094188230492406,0.6312869684992074,0.3086255893472183,0.2757050165971993,0.00011661063772884834,0.027553658335183594,5,5,2,True,statsmodels_unavailable,True
