2026-09-09 15:57:36,010 | INFO | phase11b_analysis | direction_A__scvi_matched__seed05 macroF1=0.6364 errAUROC=0.8274 latAUROC=0.5154 ECE=0.0441
2026-09-09 15:57:36,754 | INFO | phase11b_analysis | direction_A__scvi_matched__seed06 macroF1=0.6309 errAUROC=0.8462 latAUROC=0.4703 ECE=0.0337
2026-09-09 15:57:37,538 | INFO | phase11b_analysis | direction_A__scvi_matched__seed07 macroF1=0.6317 errAUROC=0.8432 latAUROC=0.5513 ECE=0.0330
2026-09-09 15:57:38,319 | INFO | phase11b_analysis | direction_A__scvi_matched__seed08 macroF1=0.6606 errAUROC=0.8338 latAUROC=0.5864 ECE=0.0359
2026-09-09 15:57:39,028 | INFO | phase11b_analysis | direction_A__scvi_matched__seed09 macroF1=0.6216 errAUROC=0.8523 latAUROC=0.4616 ECE=0.0336
2026-09-09 15:57:39,809 | INFO | phase11b_analysis | direction_A__scvi_matched__seed10 macroF1=0.6498 errAUROC=0.8560 latAUROC=0.5312 ECE=0.0341
2026-09-09 15:57:40,616 | INFO | phase11b_analysis | direction_A__scvi_matched__seed11 macroF1=0.6561 errAUROC=0.8551 latAUROC=0.5642 ECE=0.0207
2026-09-09 15:57:41,377 | INFO | phase11b_analysis | direction_A__scvi_matched__seed12 macroF1=0.6633 errAUROC=0.8385 latAUROC=0.5730 ECE=0.0358
2026-09-09 15:57:42,111 | INFO | phase11b_analysis | direction_A__scvi_matched__seed13 macroF1=0.6708 errAUROC=0.8296 latAUROC=0.5503 ECE=0.0342
2026-09-09 15:57:42,860 | INFO | phase11b_analysis | direction_A__scvi_matched__seed14 macroF1=0.6604 errAUROC=0.8506 latAUROC=0.4970 ECE=0.0339
2026-09-09 15:57:43,617 | INFO | phase11b_analysis | direction_A__scvi_matched__seed15 macroF1=0.6548 errAUROC=0.8280 latAUROC=0.5105 ECE=0.0391
2026-09-09 15:57:44,340 | INFO | phase11b_analysis | direction_A__scvi_matched__seed16 macroF1=0.6509 errAUROC=0.8433 latAUROC=0.5548 ECE=0.0235
2026-09-09 15:57:45,047 | INFO | phase11b_analysis | direction_A__scvi_matched__seed17 macroF1=0.6539 errAUROC=0.8387 latAUROC=0.4633 ECE=0.0296
2026-09-09 15:57:45,784 | INFO | phase11b_analysis | direction_A__scvi_matched__seed18 macroF1=0.6871 errAUROC=0.8471 latAUROC=0.5401 ECE=0.0242
2026-09-09 15:57:46,559 | INFO | phase11b_analysis | direction_A__scvi_matched__seed19 macroF1=0.6810 errAUROC=0.8463 latAUROC=0.6585 ECE=0.0212
2026-09-09 15:57:47,577 | INFO | phase11b_analysis | direction_A__totalvi__seed00 macroF1=0.6358 errAUROC=0.8682 latAUROC=0.6378 ECE=0.0253
2026-09-09 15:57:48,715 | INFO | phase11b_analysis | direction_A__totalvi__seed01 macroF1=0.6554 errAUROC=0.8339 latAUROC=0.6733 ECE=0.0251
2026-09-09 15:57:49,756 | INFO | phase11b_analysis | direction_A__totalvi__seed02 macroF1=0.6647 errAUROC=0.8373 latAUROC=0.6599 ECE=0.0210
2026-09-09 15:57:50,822 | INFO | phase11b_analysis | direction_A__totalvi__seed03 macroF1=0.6403 errAUROC=0.8487 latAUROC=0.6670 ECE=0.0238
2026-09-09 15:57:51,912 | INFO | phase11b_analysis | direction_A__totalvi__seed04 macroF1=0.6679 errAUROC=0.8479 latAUROC=0.6747 ECE=0.0147
2026-09-09 15:57:52,997 | INFO | phase11b_analysis | direction_A__totalvi__seed05 macroF1=0.6844 errAUROC=0.8498 latAUROC=0.6647 ECE=0.0154
2026-09-09 15:57:54,057 | INFO | phase11b_analysis | direction_A__totalvi__seed06 macroF1=0.6677 errAUROC=0.8549 latAUROC=0.6880 ECE=0.0205
2026-09-09 15:57:55,190 | INFO | phase11b_analysis | direction_A__totalvi__seed07 macroF1=0.6387 errAUROC=0.8553 latAUROC=0.6284 ECE=0.0387
2026-09-09 15:57:56,090 | INFO | phase11b_analysis | direction_A__totalvi__seed08 macroF1=0.6607 errAUROC=0.8553 latAUROC=0.6593 ECE=0.0174
2026-09-09 15:57:57,153 | INFO | phase11b_analysis | direction_A__totalvi__seed09 macroF1=0.6440 errAUROC=0.8566 latAUROC=0.6670 ECE=0.0204
2026-09-09 15:57:58,338 | INFO | phase11b_analysis | direction_A__totalvi__seed10 macroF1=0.6435 errAUROC=0.8435 latAUROC=0.6756 ECE=0.0168
2026-09-09 15:57:59,417 | INFO | phase11b_analysis | direction_A__totalvi__seed11 macroF1=0.6632 errAUROC=0.8507 latAUROC=0.6426 ECE=0.0166
2026-09-09 15:58:00,523 | INFO | phase11b_analysis | direction_A__totalvi__seed12 macroF1=0.6531 errAUROC=0.8625 latAUROC=0.6677 ECE=0.0264
2026-09-09 15:58:01,652 | INFO | phase11b_analysis | direction_A__totalvi__seed13 macroF1=0.6311 errAUROC=0.8526 latAUROC=0.6844 ECE=0.0306
2026-09-09 15:58:02,760 | INFO | phase11b_analysis | direction_A__totalvi__seed14 macroF1=0.6500 errAUROC=0.8412 latAUROC=0.6620 ECE=0.0355
2026-09-09 15:58:03,770 | INFO | phase11b_analysis | direction_A__totalvi__seed15 macroF1=0.6614 errAUROC=0.8421 latAUROC=0.6707 ECE=0.0149
2026-09-09 15:58:04,882 | INFO | phase11b_analysis | direction_A__totalvi__seed16 macroF1=0.6545 errAUROC=0.8526 latAUROC=0.6911 ECE=0.0320
2026-09-09 15:58:05,970 | INFO | phase11b_analysis | direction_A__totalvi__seed17 macroF1=0.6598 errAUROC=0.8459 latAUROC=0.6906 ECE=0.0168
2026-09-09 15:58:06,893 | INFO | phase11b_analysis | direction_A__totalvi__seed18 macroF1=0.6234 errAUROC=0.8715 latAUROC=0.7269 ECE=0.0348
2026-09-09 15:58:07,906 | INFO | phase11b_analysis | direction_A__totalvi__seed19 macroF1=0.6481 errAUROC=0.8510 latAUROC=0.6568 ECE=0.0301
2026-09-09 15:58:14,763 | INFO | phase11b_analysis | direction_B: 5964 eval cells, 21 classes
2026-09-09 15:58:15,414 | INFO | phase11b_analysis | direction_B__scvi_matched__seed00 macroF1=0.6402 errAUROC=0.8627 latAUROC=0.4310 ECE=0.0196
2026-09-09 15:58:16,338 | INFO | phase11b_analysis | direction_B__scvi_matched__seed01 macroF1=0.5708 errAUROC=0.8510 latAUROC=0.4617 ECE=0.0495
2026-09-09 15:58:17,108 | INFO | phase11b_analysis | direction_B__scvi_matched__seed02 macroF1=0.6115 errAUROC=0.8546 latAUROC=0.5143 ECE=0.0244
2026-09-09 15:58:17,848 | INFO | phase11b_analysis | direction_B__scvi_matched__seed03 macroF1=0.5845 errAUROC=0.8743 latAUROC=0.4567 ECE=0.0456
2026-09-09 15:58:18,634 | INFO | phase11b_analysis | direction_B__scvi_matched__seed04 macroF1=0.6208 errAUROC=0.8450 latAUROC=0.4665 ECE=0.0378
2026-09-09 15:58:19,534 | INFO | phase11b_analysis | direction_B__scvi_matched__seed05 macroF1=0.5683 errAUROC=0.8432 latAUROC=0.4963 ECE=0.0663
2026-09-09 15:58:20,293 | INFO | phase11b_analysis | direction_B__scvi_matched__seed06 macroF1=0.5814 errAUROC=0.8520 latAUROC=0.4267 ECE=0.0525
