2026-09-09 16:38:44,316 | INFO | phase11b | direction_A__totalvi__subset1__seed01 done: src_ep=200 q_ep=200 runtime=212s drift_mean=0.017672 integrity=0.00e+00 u_latent=0.03782 ram_avail=5176MB
2026-09-09 16:38:44,466 | INFO | phase11b | === direction_A__totalvi__subset1__seed02 (source n=3994 target n=3994) ===
2026-09-09 16:42:16,091 | INFO | phase11b | direction_A__totalvi__subset1__seed02 done: src_ep=200 q_ep=200 runtime=209s drift_mean=0.017711 integrity=0.00e+00 u_latent=0.03642 ram_avail=5147MB
2026-09-09 16:42:16,243 | INFO | phase11b | === direction_A__totalvi__subset1__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:45:43,117 | INFO | phase11b | direction_A__totalvi__subset1__seed03 done: src_ep=200 q_ep=200 runtime=204s drift_mean=0.020543 integrity=0.00e+00 u_latent=0.02987 ram_avail=5182MB
2026-09-09 16:45:43,268 | INFO | phase11b | === direction_A__totalvi__subset1__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:49:19,527 | INFO | phase11b | direction_A__totalvi__subset1__seed04 done: src_ep=200 q_ep=200 runtime=213s drift_mean=0.015598 integrity=0.00e+00 u_latent=0.03435 ram_avail=5224MB
2026-09-09 16:49:19,882 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed00 (source n=3994 target n=3994) ===
2026-09-09 16:51:24,558 | INFO | phase11b | direction_A__scvi_matched__subset2__seed00 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09432 ram_avail=5116MB
2026-09-09 16:51:24,706 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed01 (source n=3994 target n=3994) ===
2026-09-09 16:53:28,003 | INFO | phase11b | direction_A__scvi_matched__subset2__seed01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.06792 ram_avail=5121MB
2026-09-09 16:53:28,154 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed02 (source n=3994 target n=3994) ===
2026-09-09 16:55:33,059 | INFO | phase11b | direction_A__scvi_matched__subset2__seed02 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10740 ram_avail=5051MB
2026-09-09 16:55:33,210 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed03 (source n=3994 target n=3994) ===
2026-09-09 16:57:36,504 | INFO | phase11b | direction_A__scvi_matched__subset2__seed03 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09023 ram_avail=5059MB
2026-09-09 16:57:36,650 | INFO | phase11b | === direction_A__scvi_matched__subset2__seed04 (source n=3994 target n=3994) ===
2026-09-09 16:59:42,094 | INFO | phase11b | direction_A__scvi_matched__subset2__seed04 done: src_ep=200 q_ep=200 runtime=124s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08004 ram_avail=5059MB
2026-09-09 16:59:42,238 | INFO | phase11b | === direction_A__totalvi__subset2__seed00 (source n=3994 target n=3994) ===
2026-09-09 17:03:11,310 | INFO | phase11b | direction_A__totalvi__subset2__seed00 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.019790 integrity=0.00e+00 u_latent=0.03593 ram_avail=5145MB
2026-09-09 17:03:11,462 | INFO | phase11b | === direction_A__totalvi__subset2__seed01 (source n=3994 target n=3994) ===
2026-09-09 17:06:39,501 | INFO | phase11b | direction_A__totalvi__subset2__seed01 done: src_ep=200 q_ep=200 runtime=205s drift_mean=0.017794 integrity=0.00e+00 u_latent=0.03124 ram_avail=5086MB
2026-09-09 17:06:39,658 | INFO | phase11b | === direction_A__totalvi__subset2__seed02 (source n=3994 target n=3994) ===
2026-09-09 17:10:09,375 | INFO | phase11b | direction_A__totalvi__subset2__seed02 done: src_ep=200 q_ep=200 runtime=207s drift_mean=0.016237 integrity=0.00e+00 u_latent=0.03539 ram_avail=5091MB
2026-09-09 17:10:09,534 | INFO | phase11b | === direction_A__totalvi__subset2__seed03 (source n=3994 target n=3994) ===
2026-09-09 17:13:37,950 | INFO | phase11b | direction_A__totalvi__subset2__seed03 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.018323 integrity=0.00e+00 u_latent=0.03433 ram_avail=5086MB
2026-09-09 17:13:38,106 | INFO | phase11b | === direction_A__totalvi__subset2__seed04 (source n=3994 target n=3994) ===
2026-09-09 17:17:06,563 | INFO | phase11b | direction_A__totalvi__subset2__seed04 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.018150 integrity=0.00e+00 u_latent=0.03708 ram_avail=5090MB
2026-09-09 17:17:06,893 | INFO | phase11b | === direction_A__scvi_matched__subset3__seed00 (source n=3994 target n=3994) ===
2026-09-09 17:19:11,529 | INFO | phase11b | direction_A__scvi_matched__subset3__seed00 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11830 ram_avail=5092MB
2026-09-09 17:19:11,687 | INFO | phase11b | === direction_A__scvi_matched__subset3__seed01 (source n=3994 target n=3994) ===
2026-09-09 17:21:15,224 | INFO | phase11b | direction_A__scvi_matched__subset3__seed01 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10314 ram_avail=5090MB
2026-09-09 17:21:15,373 | INFO | phase11b | === direction_A__scvi_matched__subset3__seed02 (source n=3994 target n=3994) ===
2026-09-09 17:23:20,493 | INFO | phase11b | direction_A__scvi_matched__subset3__seed02 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09640 ram_avail=5090MB
2026-09-09 17:23:20,648 | INFO | phase11b | === direction_A__scvi_matched__subset3__seed03 (source n=3994 target n=3994) ===
2026-09-09 17:25:24,165 | INFO | phase11b | direction_A__scvi_matched__subset3__seed03 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08118 ram_avail=5097MB
2026-09-09 17:25:24,326 | INFO | phase11b | === direction_A__scvi_matched__subset3__seed04 (source n=3994 target n=3994) ===
2026-09-09 17:27:30,103 | INFO | phase11b | direction_A__scvi_matched__subset3__seed04 done: src_ep=200 q_ep=200 runtime=124s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11086 ram_avail=5094MB
2026-09-09 17:27:30,258 | INFO | phase11b | === direction_A__totalvi__subset3__seed00 (source n=3994 target n=3994) ===
2026-09-09 17:31:03,187 | INFO | phase11b | direction_A__totalvi__subset3__seed00 done: src_ep=200 q_ep=200 runtime=210s drift_mean=0.017615 integrity=0.00e+00 u_latent=0.03570 ram_avail=5068MB
2026-09-09 17:31:03,331 | INFO | phase11b | === direction_A__totalvi__subset3__seed01 (source n=3994 target n=3994) ===
2026-09-09 17:34:32,468 | INFO | phase11b | direction_A__totalvi__subset3__seed01 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.015635 integrity=0.00e+00 u_latent=0.03440 ram_avail=5064MB
2026-09-09 17:34:32,607 | INFO | phase11b | === direction_A__totalvi__subset3__seed02 (source n=3994 target n=3994) ===
2026-09-09 17:38:01,311 | INFO | phase11b | direction_A__totalvi__subset3__seed02 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.015184 integrity=0.00e+00 u_latent=0.03836 ram_avail=5045MB
2026-09-09 17:38:01,466 | INFO | phase11b | === direction_A__totalvi__subset3__seed03 (source n=3994 target n=3994) ===
2026-09-09 17:41:30,485 | INFO | phase11b | direction_A__totalvi__subset3__seed03 done: src_ep=200 q_ep=200 runtime=206s drift_mean=0.018734 integrity=0.00e+00 u_latent=0.03607 ram_avail=5037MB
2026-09-09 17:41:30,634 | INFO | phase11b | === direction_A__totalvi__subset3__seed04 (source n=3994 target n=3994) ===
2026-09-09 17:44:58,862 | INFO | phase11b | direction_A__totalvi__subset3__seed04 done: src_ep=200 q_ep=200 runtime=205s drift_mean=0.021148 integrity=0.00e+00 u_latent=0.03849 ram_avail=5059MB
2026-09-09 17:44:59,194 | INFO | phase11b | === direction_A__scvi_matched__subset4__seed00 (source n=3994 target n=3994) ===
2026-09-09 17:47:02,939 | INFO | phase11b | direction_A__scvi_matched__subset4__seed00 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08304 ram_avail=5086MB
2026-09-09 17:47:03,092 | INFO | phase11b | === direction_A__scvi_matched__subset4__seed01 (source n=3994 target n=3994) ===
2026-09-09 17:49:06,506 | INFO | phase11b | direction_A__scvi_matched__subset4__seed01 done: src_ep=200 q_ep=200 runtime=121s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08834 ram_avail=5029MB
2026-09-09 17:49:06,657 | INFO | phase11b | === direction_A__scvi_matched__subset4__seed02 (source n=3994 target n=3994) ===
2026-09-09 17:51:10,933 | INFO | phase11b | direction_A__scvi_matched__subset4__seed02 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09022 ram_avail=5140MB
2026-09-09 17:51:11,092 | INFO | phase11b | === direction_A__scvi_matched__subset4__seed03 (source n=3994 target n=3994) ===
2026-09-09 17:53:13,519 | INFO | phase11b | direction_A__scvi_matched__subset4__seed03 done: src_ep=200 q_ep=200 runtime=120s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09134 ram_avail=5049MB
2026-09-09 17:53:13,669 | INFO | phase11b | === direction_A__scvi_matched__subset4__seed04 (source n=3994 target n=3994) ===
2026-09-09 17:55:17,675 | INFO | phase11b | direction_A__scvi_matched__subset4__seed04 done: src_ep=200 q_ep=200 runtime=122s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.11292 ram_avail=5038MB
2026-09-09 17:55:17,822 | INFO | phase11b | === direction_A__totalvi__subset4__seed00 (source n=3994 target n=3994) ===
2026-09-09 17:58:48,088 | INFO | phase11b | direction_A__totalvi__subset4__seed00 done: src_ep=200 q_ep=200 runtime=207s drift_mean=0.019524 integrity=0.00e+00 u_latent=0.03638 ram_avail=5078MB
2026-09-09 17:58:48,237 | INFO | phase11b | === direction_A__totalvi__subset4__seed01 (source n=3994 target n=3994) ===
