direction,model,model_seed,source_n,target_n,label_level,n_shared_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_eval_source,n_eval_target,source_embedding_used,target_asw,target_knn_purity_15,target_leiden_ari,target_leiden_nmi,dataset_asw,latent_spaces_aligned_by
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226415,logreg,0.7907390917186109,0.6344938503113732,0.6510217830627849,0.7813507255044935,6040,3369,adapted_model_post_adaptation,0.0946478024125099,0.7106132075471698,0.5333870530799996,0.6811030505886162,0.026711933314800262,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226415,knn15,0.759275749480558,0.5760261879570824,0.5724333281229892,0.7360620512837811,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l2,22,0.9932193396226415,knn30,0.7580884535470466,0.5629073786931631,0.5651235735107072,0.7312225153227992,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226415,logreg,0.8165627782724845,0.6370303924874051,0.6357672182574826,0.794159951606735,6040,3369,adapted_model_post_adaptation,0.0860102102160453,0.7298152515723271,0.5170352498131853,0.7144765274289587,-0.0027347987052053213,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226415,knn15,0.7720391807658059,0.5923078391742294,0.5758218621270917,0.7414668593337023,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l2,22,0.9932193396226415,knn30,0.7625408132977145,0.5742307839864987,0.5607968498028861,0.7303128486682398,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,logreg,0.9080188679245284,0.8034579835704304,0.8187354356380466,0.8977314630585697,6102,3392,adapted_model_post_adaptation,0.1743217706680297,0.854127358490566,0.5319110376902471,0.6791565676220078,0.026711933314800262,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,knn15,0.8894457547169812,0.7621611442879752,0.7846907351730235,0.8750832549476922,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,0,6855,3994,l1,8,1.0,knn30,0.8788325471698113,0.7331084374504377,0.7585897663118891,0.8612653389871266,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,logreg,0.9174528301886793,0.8167468482052083,0.8340232483945942,0.9103060337249789,6102,3392,adapted_model_post_adaptation,0.1953538209199905,0.8668042452830188,0.4871923454949627,0.6786432314474565,-0.0027347987052053213,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,knn15,0.8891509433962265,0.7720087516422827,0.7827774483707177,0.8771601506663228,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,0,6855,3994,l1,8,1.0,knn30,0.8859080188679245,0.7606888430809445,0.7713555715072677,0.8717600474820343,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,logreg,0.777975660433363,0.6593410721337531,0.6441927129587905,0.7714354511037198,6040,3369,adapted_model_post_adaptation,0.0911896154284477,0.7211674528301888,0.5038698834396738,0.6985549819310402,0.03200722113251686,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,knn15,0.7652122291481152,0.5932739630118445,0.5705495927596993,0.7435321700445433,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l2,22,0.9932193396226415,knn30,0.7560106856634016,0.5738963695772193,0.5496440736820687,0.7318779957036838,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,logreg,0.8159691303057287,0.6519941970438736,0.6553804895452042,0.7949214811507231,6040,3369,adapted_model_post_adaptation,0.0870431140065193,0.7269850628930817,0.5246474080831122,0.7154981330464665,-0.0045117661356925964,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,knn15,0.7640249332146037,0.5786431858703146,0.5733904734746057,0.7325393085500982,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l2,22,0.9932193396226415,knn30,0.7548233897298902,0.560177099438503,0.5470386996824667,0.7195113181749752,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,logreg,0.9041863207547169,0.820786060150365,0.8220476111414841,0.8987916178425484,6102,3392,adapted_model_post_adaptation,0.1854840815067291,0.8618317610062893,0.4839774811161048,0.6644693466090997,0.03200722113251686,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,knn15,0.8882665094339622,0.776533984747346,0.7823300598683918,0.8775433582676813,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,1,6855,3994,l1,8,1.0,knn30,0.8835495283018868,0.7660844018035953,0.771247328975236,0.8722667237866946,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,logreg,0.9174528301886793,0.8201554770154933,0.8415262513683122,0.911209488505876,6102,3392,adapted_model_post_adaptation,0.1980688273906707,0.8644457547169813,0.4712532458635988,0.6680515722197352,-0.0045117661356925964,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,knn15,0.8935731132075472,0.759651452647716,0.7853508837016447,0.8768994100677283,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,1,6855,3994,l1,8,1.0,knn30,0.8888561320754716,0.7549965442439617,0.7751898639922157,0.8712339198475282,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,logreg,0.8165627782724845,0.6843356843495505,0.6850659240505798,0.803928178918973,6040,3369,adapted_model_post_adaptation,0.1055556088685989,0.7156643081761006,0.4691184447492806,0.679671582146578,0.033811863511800766,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,knn15,0.769664588898783,0.5961064216097094,0.587716890474023,0.744657127556543,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l2,22,0.9932193396226415,knn30,0.7619471653309587,0.581037877495051,0.5689573953621158,0.7321944268884196,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,logreg,0.8177500742059959,0.6583810287595262,0.6646659421957736,0.8007718686264816,6040,3369,adapted_model_post_adaptation,0.0878476947546005,0.7321540880503145,0.5215727380242218,0.6972705755089799,-0.0004453248402569443,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,knn15,0.7628376372810923,0.5846321674599486,0.5740695520081405,0.7379697085658928,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l2,22,0.9932193396226415,knn30,0.7521519738794895,0.567953188825405,0.5540161986008271,0.7237569614762404,6040,3369,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,logreg,0.9086084905660378,0.8103912531950934,0.8191589257953262,0.8995581861812423,6102,3392,adapted_model_post_adaptation,0.1951818317174911,0.8583136792452829,0.4568743706112163,0.6496494208621523,0.033811863511800766,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,knn15,0.8903301886792453,0.7625707437002991,0.7808818511615182,0.874514462302717,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,scvi_matched,2,6855,3994,l1,8,1.0,knn30,0.8829599056603774,0.7453339713745871,0.7630436451641587,0.8655151474812821,6102,3392,adapted_model_post_adaptation,,,,,,
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,logreg,0.8985849056603774,0.7980373163005128,0.7983152603704073,0.8914102927859655,6102,3392,adapted_model_post_adaptation,0.1980305463075637,0.8702044025157234,0.4862821257085136,0.6569079223187391,-0.0004453248402569443,scArches: source and target both encoded by the post-adaptation model
pbmc10k_to_pbmc5k,totalvi,2,6855,3994,l1,8,1.0,knn15,0.8806014150943396,0.7511420181702723,0.7522825408314642,0.8646188980638342,6102,3392,adapted_model_post_adaptation,,,,,,
