true,predicted,normalized,direction,model,seed,label_level
CD4 Naive,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD14 Mono,0.5348837209302325,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD14 Mono,0.056,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD14 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD16 Mono,0.0010672358591248667,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD16 Mono,0.8091603053435115,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD16 Mono,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD4 CTL,0.17073170731707318,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD4 CTL,0.013605442176870748,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD4 CTL,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD4 Naive,0.7195767195767195,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD4 Naive,0.11009174311926606,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD4 Naive,0.003676470588235294,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD4 Naive,0.10416666666666667,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD4 Naive,0.058823529411764705,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD4 Naive,0.02040816326530612,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD4 Naive,0.1016949152542373,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD4 Naive,0.5714285714285714,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD4 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD4 TCM,0.26455026455026454,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD4 TCM,0.7859327217125383,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD4 TCM,0.13602941176470587,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD4 TCM,0.020833333333333332,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD4 TCM,0.058823529411764705,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD4 TCM,0.46938775510204084,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD4 TCM,0.4915254237288136,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD4 TCM,0.14285714285714285,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD4 TCM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD14 Mono,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD16 Mono,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 CTL,CD4 TEM,0.7560975609756098,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 Naive,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TCM,CD4 TEM,0.04892966360856269,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD4 TEM,CD4 TEM,0.7977941176470589,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 Naive,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TCM,CD4 TEM,0.17647058823529413,pbmc10k_to_pbmc5k,scvi_matched,0,l2
CD8 TEM,CD4 TEM,0.1292517006802721,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Eryth,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
ILC,CD4 TEM,0.21428571428571427,pbmc10k_to_pbmc5k,scvi_matched,0,l2
MAIT,CD4 TEM,0.25,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
NK_CD56bright,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
Treg,CD4 TEM,0.05084745762711865,pbmc10k_to_pbmc5k,scvi_matched,0,l2
cDC2,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
dnT,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
gdT,CD4 TEM,0.08450704225352113,pbmc10k_to_pbmc5k,scvi_matched,0,l2
pDC,CD4 TEM,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B intermediate,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B memory,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
B naive,CD8 Naive,0.0,pbmc10k_to_pbmc5k,scvi_matched,0,l2
