quantity,point_estimate,boot_mean,boot_median,boot_sd,ci_2.5,ci_97.5,prop_gt_0,n_boot,n_nan,manuscript_rounded_point
F1_RNA_PCA,0.6664948061673877,0.6526127469653802,0.6533723328909591,0.023607198450800695,0.6048775021842009,0.6966572840279075,,10000,0,0.666
F1_concat,0.7448967230318437,0.7388886859023445,0.7373935573028634,0.020307377470170584,0.7021195784452278,0.782771910160875,,10000,0,0.745
F1_totalVI,0.7789060134068557,0.7698364077637366,0.7703856707237022,0.020815734083295692,0.7286094203907997,0.8117658006709856,,10000,0,0.779
G_access,0.07840191686445608,0.08627593893696434,0.0850891536091824,0.023828446935055324,0.0429441503472167,0.13153424116614357,1.0,10000,0,0.079
G_assoc,0.03400929037501199,0.030947721861392163,0.031864117433696715,0.022700518476693674,-0.011778133818618712,0.07346164348362003,0.9045,10000,0,0.034
Gap_total,0.11241120723946807,0.11722366079835651,0.11655605651779083,0.018333065449706514,0.08389572253295607,0.1539735988441445,1.0,10000,0,0.113
R_access,0.6974564083938494,0.7399745319843579,0.7228332401959631,0.1893986612840896,0.40464920984595204,1.1144808286153944,,10000,0,0.6991150442477876
Gap_total_min,0.05639159624806411,0.11722366079835651,0.11655605651779083,0.018333065449706514,0.08389572253295607,0.1539735988441445,1.0,10000,0,
