experiment,fold,model,seed,n_cells,macro_f1,accuracy,balanced_accuracy,error_prevalence,error_auroc,error_auprc,nll,brier,ece_equal_frequency,ece_equal_width,full_aurc,paurc_0.5_1.0,e_aurc,aurc_star_perfect_ranking,risk_100,risk_90,risk_80,risk_70,risk_60,risk_50,latent_error_auroc,latent_error_auprc,table_block,n_seeds,macro_f1_mean,macro_f1_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_equal_frequency_mean,ece_equal_frequency_sd,full_aurc_historical_column_mean,full_aurc_historical_column_sd,full_aurc_from_curve,paurc_0.5_1.0_from_curve,note,accuracy_mean,balanced_accuracy_mean,error_prevalence_mean,error_auroc_mean,error_auprc_mean,latent_error_auroc_mean,ece_equal_width_mean,full_aurc_mean,full_aurc_sd
Lawlor,0.0,scvi_matched,0.0,676.0,0.796977820362466,0.7677514792899408,0.801361200666186,0.2322485207100591,0.8094694598873384,0.5159558349524433,0.554016649723053,0.3155567348003387,0.032326769987507,0.0262050530349714,0.0797944771494814,0.1465989391183435,0.0502826912975252,0.0295117858519561,0.2322485207100592,0.1891447368421053,0.155268022181146,0.1310782241014799,0.1034482758620689,0.0680473372781065,0.5938171152264891,0.3411779823336747,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,1.0,676.0,0.7918769223549793,0.7633136094674556,0.7950777098262408,0.2366863905325443,0.8138565891472869,0.5451135133160019,0.5726296901702881,0.3233247399330139,0.0269275598624754,0.0229731179200685,0.0807540541523109,0.1483222072753955,0.0500532560106532,0.0307007981416576,0.2366863905325443,0.194078947368421,0.1626617375231053,0.1310782241014799,0.1009852216748768,0.0621301775147928,0.5990188953488371,0.2980342262791254,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,2.0,676.0,0.8134649362051708,0.7840236686390533,0.8120010045485498,0.2159763313609467,0.8075471698113206,0.5293952273440388,0.5483638644218445,0.3073808550834656,0.0291696492384171,0.0286757390086467,0.0729914053412818,0.1353643525781023,0.0476209752383688,0.025370430102913,0.2159763313609467,0.1726973684210526,0.1497227356746765,0.1247357293868921,0.0886699507389162,0.059171597633136,0.6006978547428277,0.2660660510977469,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,3.0,676.0,0.7956459435626103,0.764792899408284,0.7956817176631418,0.2352071005917159,0.8393002688466358,0.5912978128140058,0.5492737293243408,0.3100390434265136,0.0478840594637323,0.0436336272919672,0.0731652609656179,0.1360162025663725,0.0428636597084387,0.0303016012571791,0.235207100591716,0.1809210526315789,0.1460258780036968,0.1183932346723044,0.086206896551724,0.0680473372781065,0.605574005814873,0.2984686493107674,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,4.0,676.0,0.8137958311424393,0.7869822485207101,0.8144496565999378,0.2130177514792899,0.7992115705931495,0.4670065794135921,0.5619399547576904,0.3087410926818847,0.0535855381446477,0.0439770577045587,0.0732318831346919,0.136949378847461,0.0485779347269335,0.0246539484077583,0.2130177514792899,0.1858552631578947,0.1404805914972273,0.1226215644820295,0.1009852216748768,0.0710059171597633,0.5693139097744361,0.2560175610611206,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,5.0,676.0,0.8152224256091761,0.7884615384615384,0.8165714041369567,0.2115384615384615,0.794119576483554,0.4633548852469974,0.5354209542274475,0.3064931035041809,0.0561458557491472,0.0555666165768042,0.0743747792470875,0.1375251638674575,0.0500748981383358,0.0242998811087517,0.2115384615384615,0.1677631578947368,0.1478743068391866,0.1268498942917547,0.1083743842364531,0.0650887573964497,0.4093861110746664,0.1722568685132133,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,6.0,676.0,0.8045949655388899,0.7736686390532544,0.8010053383394825,0.2263313609467455,0.8159187193041653,0.5063350138849577,0.5472627282142639,0.3074037134647369,0.0282474056150786,0.0386034443357287,0.0748983179059044,0.1375998816299992,0.0469320033316578,0.0279663145742466,0.2263313609467455,0.1907894736842105,0.1571164510166358,0.1162790697674418,0.0812807881773398,0.0650887573964497,0.5978580087229283,0.3156988326286137,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,7.0,676.0,0.7943613193283708,0.7633136094674556,0.795549935627019,0.2366863905325443,0.8091206395348838,0.5349678222314481,0.5661248564720154,0.3197866976261139,0.04574788075227,0.0275692609992958,0.0818214638841836,0.1510473554880794,0.0511206657425259,0.0307007981416576,0.2366863905325443,0.1957236842105263,0.155268022181146,0.1416490486257928,0.1009852216748768,0.0710059171597633,0.6441739341085271,0.3719883053520237,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,8.0,676.0,0.7885155688663865,0.757396449704142,0.7893425905335933,0.2426035502958579,0.8291134717987805,0.5723032027664046,0.5533404350280762,0.3133555650711059,0.0392002289640832,0.0425303601742496,0.0789487719511878,0.1452593908960503,0.0466224620866675,0.0323263098645203,0.242603550295858,0.1973684210526315,0.1571164510166358,0.120507399577167,0.1009852216748768,0.0650887573964497,0.5378477515243902,0.2798359946125797,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
Lawlor,0.0,scvi_matched,9.0,676.0,0.8115161286860693,0.7840236686390533,0.8115588078475866,0.2159763313609467,0.8098991987593693,0.4917963733872509,0.5411719083786011,0.3049663603305816,0.0363726546249446,0.0306232008620126,0.0723490651487707,0.1328716835291261,0.0469786350458577,0.025370430102913,0.2159763313609467,0.1743421052631578,0.144177449168207,0.1162790697674418,0.086206896551724,0.0680473372781065,0.6720728870509175,0.3513877868541225,lawlor_run_level,,,,,,,,,,,,,,,,,,,,,,,
