/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_csv from `anndata` is deprecated. Import anndata.io.read_csv instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_excel from `anndata` is deprecated. Import anndata.io.read_excel instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_hdf from `anndata` is deprecated. Import anndata.io.read_hdf instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_loom from `anndata` is deprecated. Import anndata.io.read_loom instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_mtx from `anndata` is deprecated. Import anndata.io.read_mtx instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_text from `anndata` is deprecated. Import anndata.io.read_text instead.
  warnings.warn(msg, FutureWarning)
/home/jizhu/miniconda3/envs/multiomics_robustness/lib/python3.11/site-packages/anndata/utils.py:434: FutureWarning: Importing read_umi_tools from `anndata` is deprecated. Import anndata.io.read_umi_tools instead.
  warnings.warn(msg, FutureWarning)
2026-09-10 03:29:32,722 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed01 macroF1=0.5824 AUROC=0.8356
2026-09-10 03:29:33,112 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed01__rep01 macroF1=0.6127 AUROC=0.8325
2026-09-10 03:29:33,466 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed02 macroF1=0.6084 AUROC=0.8522
2026-09-10 03:29:33,838 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed02__rep01 macroF1=0.5976 AUROC=0.8628
2026-09-10 03:29:34,217 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed03 macroF1=0.6268 AUROC=0.8461
2026-09-10 03:29:34,566 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed03__rep01 macroF1=0.6003 AUROC=0.8457
2026-09-10 03:29:34,920 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed04 macroF1=0.6213 AUROC=0.8194
2026-09-10 03:29:35,266 | INFO | phase12a_analysis | direction_A__totalvi__subset1__seed04__rep01 macroF1=0.6002 AUROC=0.8340
2026-09-10 03:29:35,566 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed00 macroF1=0.6080 AUROC=0.8426
2026-09-10 03:29:35,851 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed00__rep01 macroF1=0.5914 AUROC=0.8482
2026-09-10 03:29:36,171 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed01 macroF1=0.5951 AUROC=0.8432
2026-09-10 03:29:36,479 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed01__rep01 macroF1=0.6193 AUROC=0.8315
2026-09-10 03:29:36,769 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed02 macroF1=0.6057 AUROC=0.8267
2026-09-10 03:29:37,058 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed02__rep01 macroF1=0.5756 AUROC=0.8338
2026-09-10 03:29:37,342 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed03 macroF1=0.5815 AUROC=0.8337
2026-09-10 03:29:37,639 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed03__rep01 macroF1=0.5621 AUROC=0.8417
2026-09-10 03:29:37,935 | INFO | phase12a_analysis | direction_A__scvi_matched__subset2__seed04 macroF1=0.5808 AUROC=0.8430
