2026-09-10 01:53:46,116 | INFO | phase12a | === direction_A__totalvi__subset1__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:57:04,253 | INFO | phase12a | direction_A__totalvi__subset1__seed02__rep01 done: src_ep=200 q_ep=200 runtime=195s drift_mean=0.016517 integrity=0.00e+00 u_latent=0.03370 ram_avail=5141MB
2026-09-10 01:57:04,402 | INFO | phase12a | === direction_A__scvi_matched__subset1__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 01:59:05,003 | INFO | phase12a | direction_A__scvi_matched__subset1__seed03__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.09459 ram_avail=5076MB
2026-09-10 01:59:05,145 | INFO | phase12a | === direction_A__totalvi__subset1__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:02:21,211 | INFO | phase12a | direction_A__totalvi__subset1__seed03__rep01 done: src_ep=200 q_ep=200 runtime=193s drift_mean=0.016701 integrity=0.00e+00 u_latent=0.03645 ram_avail=5134MB
2026-09-10 02:02:21,357 | INFO | phase12a | === direction_A__scvi_matched__subset1__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:04:19,964 | INFO | phase12a | direction_A__scvi_matched__subset1__seed04__rep01 done: src_ep=200 q_ep=200 runtime=117s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10645 ram_avail=5094MB
2026-09-10 02:04:20,112 | INFO | phase12a | === direction_A__totalvi__subset1__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:07:39,512 | INFO | phase12a | direction_A__totalvi__subset1__seed04__rep01 done: src_ep=200 q_ep=200 runtime=197s drift_mean=0.017117 integrity=0.00e+00 u_latent=0.03376 ram_avail=5073MB
2026-09-10 02:07:39,832 | INFO | phase12a | built source subset 2 (n=3994)
2026-09-10 02:07:39,832 | INFO | phase12a | === direction_A__scvi_matched__subset2__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:09:38,682 | INFO | phase12a | direction_A__scvi_matched__subset2__seed00__rep01 done: src_ep=200 q_ep=200 runtime=117s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.06776 ram_avail=5067MB
2026-09-10 02:09:38,823 | INFO | phase12a | === direction_A__totalvi__subset2__seed00__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:12:56,150 | INFO | phase12a | direction_A__totalvi__subset2__seed00__rep01 done: src_ep=200 q_ep=200 runtime=194s drift_mean=0.022376 integrity=0.00e+00 u_latent=0.03468 ram_avail=5067MB
2026-09-10 02:12:56,298 | INFO | phase12a | === direction_A__scvi_matched__subset2__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:14:56,592 | INFO | phase12a | direction_A__scvi_matched__subset2__seed01__rep01 done: src_ep=200 q_ep=200 runtime=118s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.06871 ram_avail=5069MB
2026-09-10 02:14:56,739 | INFO | phase12a | === direction_A__totalvi__subset2__seed01__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:18:13,970 | INFO | phase12a | direction_A__totalvi__subset2__seed01__rep01 done: src_ep=200 q_ep=200 runtime=194s drift_mean=0.016879 integrity=0.00e+00 u_latent=0.03429 ram_avail=5110MB
2026-09-10 02:18:14,115 | INFO | phase12a | === direction_A__scvi_matched__subset2__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:20:15,048 | INFO | phase12a | direction_A__scvi_matched__subset2__seed02__rep01 done: src_ep=200 q_ep=200 runtime=119s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.08524 ram_avail=5164MB
2026-09-10 02:20:15,196 | INFO | phase12a | === direction_A__totalvi__subset2__seed02__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:23:31,162 | INFO | phase12a | direction_A__totalvi__subset2__seed02__rep01 done: src_ep=200 q_ep=200 runtime=193s drift_mean=0.016816 integrity=0.00e+00 u_latent=0.03450 ram_avail=5141MB
2026-09-10 02:23:31,309 | INFO | phase12a | === direction_A__scvi_matched__subset2__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:25:29,175 | INFO | phase12a | direction_A__scvi_matched__subset2__seed03__rep01 done: src_ep=200 q_ep=200 runtime=116s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.10322 ram_avail=5101MB
2026-09-10 02:25:29,321 | INFO | phase12a | === direction_A__totalvi__subset2__seed03__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:28:45,785 | INFO | phase12a | direction_A__totalvi__subset2__seed03__rep01 done: src_ep=200 q_ep=200 runtime=194s drift_mean=0.019984 integrity=0.00e+00 u_latent=0.03319 ram_avail=5130MB
2026-09-10 02:28:45,929 | INFO | phase12a | === direction_A__scvi_matched__subset2__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:30:50,342 | INFO | phase12a | direction_A__scvi_matched__subset2__seed04__rep01 done: src_ep=200 q_ep=200 runtime=123s drift_mean=0.000000 integrity=0.00e+00 u_latent=0.07697 ram_avail=5167MB
2026-09-10 02:30:50,487 | INFO | phase12a | === direction_A__totalvi__subset2__seed04__rep01 (source n=3994 target n=3994) ===
2026-09-10 02:34:10,160 | INFO | phase12a | direction_A__totalvi__subset2__seed04__rep01 done: src_ep=200 q_ep=200 runtime=197s drift_mean=0.016697 integrity=0.00e+00 u_latent=0.03510 ram_avail=5131MB
