direction,model,cell_type,source_support,target_support,accuracy,f1,error_rate,median_predictive_uncertainty,median_latent_uncertainty,median_ensemble_disagreement,neighbor_stability,neighbor_label_agreement
pbmc10k_to_pbmc5k,scvi_matched,B intermediate,68,66,0.6363636363636364,0.5454545454545454,0.36363636363636365,0.20326712727546692,,0.05217719078063965,0.2036052476610786,0.36565656565656557
pbmc10k_to_pbmc5k,scvi_matched,B memory,99,79,0.8354430379746836,0.7630057803468208,0.16455696202531644,0.1224471926689148,,0.023698091506958008,0.2332080667669727,0.77873417721519
pbmc10k_to_pbmc5k,scvi_matched,B naive,315,128,0.703125,0.821917808219178,0.296875,0.25606390833854675,,0.06619486212730408,0.13871349844246209,0.7793749999999999
pbmc10k_to_pbmc5k,scvi_matched,CD14 Mono,1237,937,0.9946638207043756,0.9583547557840617,0.005336179295624333,0.0025478005409240723,,0.001567816361784935,0.16027956065287885,0.9660903593027392
pbmc10k_to_pbmc5k,scvi_matched,CD16 Mono,103,131,0.8091603053435115,0.8907563025210085,0.19083969465648856,0.0265657901763916,,0.007776021957397461,0.27490274469180154,0.8196437659033079
pbmc10k_to_pbmc5k,scvi_matched,CD4 CTL,24,41,0.17073170731707318,0.28,0.8292682926829268,0.3888717293739319,,0.1315746307373047,0.1161323519627904,0.08260162601626017
pbmc10k_to_pbmc5k,scvi_matched,CD4 Naive,795,378,0.7195767195767195,0.7661971830985915,0.2804232804232804,0.3358360826969147,,0.10084730386734009,0.12057366612315329,0.629347442680776
pbmc10k_to_pbmc5k,scvi_matched,CD4 TCM,580,327,0.7859327217125383,0.6416978776529338,0.21406727828746178,0.25744372606277466,,0.06602931022644043,0.1597872330179615,0.5365953109072376
pbmc10k_to_pbmc5k,scvi_matched,CD4 TEM,281,272,0.7977941176470589,0.7269681742043551,0.20220588235294118,0.2476629912853241,,0.0686694085597992,0.14994180978973945,0.5171078431372549
pbmc10k_to_pbmc5k,scvi_matched,CD8 Naive,320,48,0.7916666666666666,0.8260869565217391,0.20833333333333334,0.3223849833011627,,0.09178024530410767,0.1558603903211287,0.7441666666666666
pbmc10k_to_pbmc5k,scvi_matched,CD8 TCM,77,34,0.4117647058823529,0.417910447761194,0.5882352941176471,0.4195682406425476,,0.17841657996177673,0.15806612137981288,0.1596078431372549
pbmc10k_to_pbmc5k,scvi_matched,CD8 TEM,246,147,0.6462585034013606,0.7480314960629921,0.35374149659863946,0.3721082806587219,,0.1463305950164795,0.13554354905585306,0.39809523809523806
pbmc10k_to_pbmc5k,scvi_matched,Eryth,144,86,0.45348837209302323,0.5379310344827586,0.5465116279069767,0.15587666630744934,,0.02585510164499283,0.21195550480825287,0.4463565891472869
pbmc10k_to_pbmc5k,scvi_matched,ILC,65,98,0.22448979591836735,0.3283582089552239,0.7755102040816326,0.4085998833179474,,0.08792990446090698,0.21164611860352986,0.10666666666666665
pbmc10k_to_pbmc5k,scvi_matched,MAIT,356,24,0.6666666666666666,0.5,0.3333333333333333,0.13986435532569885,,0.0525551438331604,0.16094009320958344,0.7533333333333333
pbmc10k_to_pbmc5k,scvi_matched,NK,760,251,0.9960159362549801,0.9363295880149812,0.00398406374501992,0.001330733299255371,,0.0018219035118818283,0.13224735853206424,0.9735989375830013
pbmc10k_to_pbmc5k,scvi_matched,NK_CD56bright,35,30,0.7333333333333333,0.8301886792452831,0.26666666666666666,0.14030712842941284,,0.06331771612167358,0.300944018067625,0.5768888888888889
pbmc10k_to_pbmc5k,scvi_matched,Treg,241,59,0.2711864406779661,0.4,0.7288135593220338,0.42348283529281616,,0.1158989667892456,0.23544678397408358,0.32406779661016955
pbmc10k_to_pbmc5k,scvi_matched,cDC2,135,125,0.944,0.959349593495935,0.056,0.0025873780250549316,,0.000610837247222662,0.2484313798719222,0.7942400000000001
pbmc10k_to_pbmc5k,scvi_matched,dnT,76,14,0.07142857142857142,0.1,0.9285714285714286,0.301887184381485,,0.17024749517440796,0.1325436661143338,0.06952380952380952
pbmc10k_to_pbmc5k,scvi_matched,gdT,59,71,0.29577464788732394,0.3652173913043478,0.704225352112676,0.3690446615219116,,0.1688326597213745,0.13518433565786647,0.10929577464788733
pbmc10k_to_pbmc5k,scvi_matched,pDC,24,23,1.0,0.9787234042553191,0.0,0.016962826251983643,,0.01493312418460846,0.770160295239377,0.9971014492753624
pbmc10k_to_pbmc5k,totalvi,B intermediate,68,66,0.7272727272727273,0.7441860465116279,0.2727272727272727,0.3581249713897705,,0.05844435095787048,0.18990154861612074,0.39131313131313133
pbmc10k_to_pbmc5k,totalvi,B memory,99,79,0.8227848101265823,0.8176100628930818,0.17721518987341772,0.13467085361480713,,0.045177340507507324,0.22850928986380167,0.7162869198312236
pbmc10k_to_pbmc5k,totalvi,B naive,315,128,0.9921875,0.9844961240310077,0.0078125,0.038224101066589355,,0.04287561774253845,0.13126064168189588,0.8811458333333333
pbmc10k_to_pbmc5k,totalvi,CD14 Mono,1237,937,0.9925293489861259,0.9592573491490459,0.007470651013874066,0.006811380386352539,,0.002657763659954071,0.12193346426773934,0.9648239060832443
pbmc10k_to_pbmc5k,totalvi,CD16 Mono,103,131,0.8625954198473282,0.9224489795918367,0.13740458015267176,0.032915711402893066,,0.006216559559106827,0.23834534724900006,0.8122137404580153
pbmc10k_to_pbmc5k,totalvi,CD4 CTL,24,41,0.17073170731707318,0.2916666666666667,0.8292682926829268,0.4062078595161438,,0.09033358097076416,0.10790912439137107,0.152520325203252
pbmc10k_to_pbmc5k,totalvi,CD4 Naive,795,378,0.8915343915343915,0.8362282878411911,0.10846560846560846,0.22319388389587402,,0.04662221670150757,0.09736476133170642,0.8151675485008818
pbmc10k_to_pbmc5k,totalvi,CD4 TCM,580,327,0.7125382262996942,0.6685796269727403,0.2874617737003058,0.26664847135543823,,0.04505002498626709,0.1239358520397057,0.4430173292558614
pbmc10k_to_pbmc5k,totalvi,CD4 TEM,281,272,0.8198529411764706,0.7371900826446282,0.1801470588235294,0.19066974520683289,,0.04306122660636902,0.13102359120311544,0.521029411764706
