direction,model,label_level,n_cells,ensemble_accuracy,ensemble_balanced_accuracy,ensemble_macro_f1,ensemble_weighted_f1,ensemble_nll,ensemble_brier,ensemble_ece,ensemble_error_auroc,ensemble_error_auprc,ensemble_aurc,median_predictive_entropy,median_expected_entropy,median_ensemble_disagreement,median_variation_ratio,disagreement_error_auroc,disagreement_error_auprc,variation_ratio_error_auroc,mean_seed_macro_f1,mean_seed_ece
pbmc10k_to_pbmc5k,scvi_matched,l2,3369,0.8192341941228851,0.6855505482753638,0.6872571993834176,0.8088076455847436,0.4956053807746238,0.25643430327565636,0.023016830550771535,0.850838866281145,0.5093010086132087,0.04764521439942572,0.48681122064590454,0.4266468584537506,0.033488333225250244,0.0,0.8119389709906951,0.41555037286963303,0.7509179933842601,0.660624463750594,0.027088218230315143
pbmc10k_to_pbmc5k,totalvi,l2,3369,0.8230929059067973,0.6557875640863814,0.65952797299127,0.8022862313473229,0.4696794976150286,0.24190374844417886,0.02174746605400941,0.8698971627171889,0.5445722404274488,0.04237119098217426,0.4737774431705475,0.4335356652736664,0.02587425708770752,0.0,0.8269479545086005,0.4625241125960802,0.7312159800763354,0.652795975741918,0.02197611156257263
pbmc5k_to_pbmc10k,scvi_matched,l2,5964,0.7758215962441315,0.6164261162890686,0.6121482745891952,0.7433031492373504,0.6392578755449603,0.30466108940434045,0.03290541192215614,0.8800761165924894,0.657995084128619,0.05740438124144359,0.55292809009552,0.5095073580741882,0.028156206011772156,0.0,0.8409115854245003,0.6082431374997208,0.7718420173354053,0.6055662166979399,0.03539972788411287
pbmc5k_to_pbmc10k,totalvi,l2,5964,0.8288061703554661,0.6893443251392052,0.6839062204692584,0.8145193139281958,0.49342049801174515,0.24634587470899272,0.08589729907567034,0.8872309856358569,0.5865805809346222,0.037965046950689904,0.6595529317855835,0.5494245886802673,0.06850162148475647,0.0,0.701390860709245,0.24115549814336582,0.7534424268195131,0.6487918688986742,0.039935122955013336
