direction,model,model_seed,n_source_cells,n_latent,mean_posterior_variance,median_u_latent_source,iqr_u_latent_source,min_posterior_variance,max_posterior_variance,gaussian_entropy_mean,qzm_matches_saved_post_adaptation,qzm_matches_saved_pre_adaptation,valid_in_phase10_coordinate_system,cuda_peak_allocated_mb
pbmc10k_to_pbmc5k,scvi_matched,0,6855,20,0.08733472973108292,0.0869470089673996,0.015354782342910767,0.00021023060253355652,1.122870683670044,-5.38897180557251,True,True,True,161.6630859375
pbmc10k_to_pbmc5k,scvi_matched,1,6855,20,0.09709367901086807,0.09735934436321259,0.015425093472003937,0.0001119302396546118,0.9970542192459106,-5.712614059448242,True,True,True,169.9521484375
pbmc10k_to_pbmc5k,scvi_matched,2,6855,20,0.13672097027301788,0.13725891709327698,0.016366630792617798,0.00011192559031769633,1.2937121391296387,-3.5475966930389404,True,True,True,169.9521484375
pbmc10k_to_pbmc5k,scvi_matched,3,6855,20,0.19019386172294617,0.19048869609832764,0.021372810006141663,0.0001262464647879824,1.2522625923156738,-1.8809585571289062,True,True,True,169.9521484375
pbmc10k_to_pbmc5k,scvi_matched,4,6855,20,0.12974196672439575,0.12990126013755798,0.015216246247291565,0.00014012517931405455,1.233634114265442,-4.575174808502197,True,True,True,169.9521484375
pbmc10k_to_pbmc5k,totalvi,0,6855,20,0.02303595468401909,0.022814709693193436,0.008922021836042404,0.00027605777722783387,0.1338273584842682,-11.53474235534668,False,True,False,140.1064453125
pbmc10k_to_pbmc5k,totalvi,1,6855,20,0.023443972691893578,0.023168357089161873,0.008755650371313095,0.00040444760816171765,0.09021691232919693,-11.194513320922852,False,True,False,140.1064453125
pbmc10k_to_pbmc5k,totalvi,2,6855,20,0.02588087134063244,0.025718241930007935,0.009012645110487938,0.0002595899277366698,0.12062624841928482,-10.409504890441895,False,True,False,140.1064453125
pbmc10k_to_pbmc5k,totalvi,3,6855,20,0.022501297295093536,0.02220047451555729,0.008954869583249092,0.0006151809357106686,0.11016059666872025,-11.777435302734375,False,True,False,140.1064453125
pbmc10k_to_pbmc5k,totalvi,4,6855,20,0.023004984483122826,0.022920124232769012,0.009096696972846985,0.0003909289953298867,0.10185287892818451,-11.75034236907959,False,True,False,140.1064453125
pbmc5k_to_pbmc10k,scvi_matched,0,3994,20,0.0733615830540657,0.07388722896575928,0.024910815060138702,0.0006006446201354265,0.4124130308628082,-0.5444774031639099,True,True,True,169.9521484375
pbmc5k_to_pbmc10k,scvi_matched,1,3994,20,0.08465474098920822,0.08106718212366104,0.028246700763702393,0.0007060603238642216,0.47428613901138306,1.2818018198013306,True,True,True,169.9521484375
pbmc5k_to_pbmc10k,scvi_matched,2,3994,20,0.09349383413791656,0.09328952431678772,0.030063368380069733,0.000751099141780287,0.6553412675857544,1.3243519067764282,True,True,True,169.9521484375
pbmc5k_to_pbmc10k,scvi_matched,3,3994,20,0.08300765603780746,0.07952840626239777,0.027594633400440216,0.00015905211330391467,0.9639833569526672,-0.002579385880380869,True,True,True,169.9521484375
pbmc5k_to_pbmc10k,scvi_matched,4,3994,20,0.06914538145065308,0.06959788501262665,0.024618729948997498,0.0006078336155042052,0.6484251618385315,-1.0102113485336304,True,True,True,169.9521484375
pbmc5k_to_pbmc10k,totalvi,0,3994,20,0.03067038394510746,0.029731377959251404,0.014512637630105019,0.00025736590032465756,0.2048325389623642,-8.956954002380371,False,True,False,140.1064453125
pbmc5k_to_pbmc10k,totalvi,1,3994,20,0.030230935662984848,0.029270410537719727,0.01193222776055336,0.0004959522048011422,0.20949891209602356,-8.543144226074219,False,True,False,140.1064453125
pbmc5k_to_pbmc10k,totalvi,2,3994,20,0.031002329662442207,0.029693035408854485,0.013962894678115845,0.00013077727635391057,0.355634480714798,-9.203766822814941,False,True,False,140.1064453125
pbmc5k_to_pbmc10k,totalvi,3,3994,20,0.03330230712890625,0.03247864544391632,0.015289051458239555,0.00014936630032025278,0.22795060276985168,-8.215380668640137,False,True,False,140.1064453125
pbmc5k_to_pbmc10k,totalvi,4,3994,20,0.032738927751779556,0.032186757773160934,0.016484316438436508,0.0001846394152380526,0.2290613204240799,-8.70680046081543,False,True,False,140.1064453125
