direction,model,median_u_source_cv,iqr_u_source_cv,median_u_target,iqr_u_target
pbmc10k_to_pbmc5k,scvi_matched,0.02935287356376648,0.14615438878536224,0.09917610883712769,0.335940957069397
pbmc10k_to_pbmc5k,totalvi,0.027738571166992188,0.13187330961227417,0.09145408868789673,0.2718849778175354
pbmc5k_to_pbmc10k,scvi_matched,0.09938955307006836,0.30864936113357544,0.13394170999526978,0.35106125473976135
pbmc5k_to_pbmc10k,totalvi,0.08245104551315308,0.2859126031398773,0.14904221892356873,0.3258568048477173
