condition,direction,subsample_seed,model_seed,model,source_n,target_n,label_level,evaluation_class_set,n_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,neighbor_agreement_k15,neighbor_agreement_k30,neighbor_agreement_k50,source_training_epochs,query_adaptation_epochs,source_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,process_peak_rss_mb,source_latent_drift,target_asw,target_knn_purity_15
original_A,pbmc10k_to_pbmc5k,,0,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,logreg,0.8009723488301428,0.665042609902361,0.6785628388409383,0.7934005877604267,0.7006178466524865,0.6810594550795098,0.662260711030082,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,0,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,knn15,0.772105742935278,0.615321708708043,0.6150113398910524,0.7538983700765685,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,0,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,knn30,0.7681555758128229,0.5963742542244903,0.6038004063371671,0.7458357333630945,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,0,totalvi,6855,3994,l2,common,19,0.9702240566037735,logreg,0.8280158006684898,0.679567446360886,0.6770880400607693,0.8080614133096472,0.720672541274182,0.6999797427327055,0.6794773625037982,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,0,totalvi,6855,3994,l2,common,19,0.9702240566037735,knn15,0.7833485262838044,0.6317175403374234,0.6191812845062283,0.7573081000858832,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,0,totalvi,6855,3994,l2,common,19,0.9702240566037735,knn30,0.7754481920388939,0.6136487703340693,0.6043344371941325,0.7478326505418644,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,1,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,logreg,0.7948951686417502,0.6952401310863751,0.6768679456146625,0.7884994768640143,0.7009622201964956,0.6848475640636079,0.6686174415071408,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,1,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,knn15,0.7760559100577332,0.6334395300721147,0.6141419177598814,0.7588367538507176,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,1,scvi_matched,6855,3994,l2,common,19,0.9702240566037735,knn30,0.7666362807657247,0.6112489064855119,0.5892002556224295,0.7459820095422823,,,,,,,,,,,,,
original_A,pbmc10k_to_pbmc5k,,1,totalvi,6855,3994,l2,common,19,0.9702240566037735,logreg,0.8274080826496506,0.6880467873053926,0.68844322031679,0.8083420355293506,0.7219892636483338,0.7061784665248659,0.6894986326344578,,,,,,,,,,
