setting,representation,label_level,fit_cells,macro_f1,accuracy,balanced_accuracy,weighted_f1,n_train,n_test,n_classes_test,dim,is_primary_concat
development_HC,RNA_PCA_10,l2,train_HC_only,0.6664948061673877,0.8344612181155648,0.6547086744230147,0.8171055958762949,7573,1921,30,10,False
development_HC,protein_PCA_10,l2,train_HC_only,0.5120313029255007,0.77147319104633,0.4856738888317282,0.7445412302362473,7573,1921,30,10,False
development_HC,concat_PCA_10_10,l2,train_HC_only,0.7448967230318437,0.8906819364914107,0.7385616006945537,0.8831927298171874,7573,1921,30,20,True
development_HC,MOFA+,l2,train_HC_only,0.5491666065481027,0.7834461218115565,0.5384282881007226,0.7584764467191447,7573,1921,30,20,False
development_HC,scVI_matched,l2,train_HC_only,0.7219696317061377,0.8781884435190005,0.7151366890199461,0.8701930763027401,7573,1921,30,20,False
development_HC,totalVI,l2,train_HC_only,0.7789060134068557,0.8839146277980219,0.7624476350873091,0.8780677417731105,7573,1921,30,20,False
