true_interaction_over_residual,rejection_rate,interpretation,median_residual_fraction,median_interaction_fraction,mean_interaction_variance_raw,n_sims
0.0,0.0435,type I error,0.9020378778145848,0.0,-0.009827341407741611,2000
0.125,0.132,power,0.8233309150743733,0.10129257247579729,0.12881387528149446,2000
0.25,0.2215,power,0.750882066235919,0.18059815404321472,0.25179744493688755,2000
0.5,0.452,power,0.6230487888594611,0.3008803085965515,0.5069415387571712,2000
1.0,0.7795,power,0.45605188817706777,0.46060235453460235,1.002855584880247,2000
2.0,0.972,power,0.30891948673656877,0.6055060670642345,2.000892946451741,2000
4.0,0.997,power,0.1807282937818111,0.7297112616895607,3.995845338640456,2000
