model,cell_type,n_cells,mean_true_class_probability,median_total_variance,median_source_fraction,median_seed_fraction,median_interaction_fraction,median_residual_fraction,median_source_variance,median_seed_variance,median_interaction_variance,median_residual_variance
scvi_matched,B intermediate,66,0.4368230526833654,0.032146085964128185,0.3629131953978203,0.0,0.04804110911679306,0.539680247097151,0.011860905214218292,0.0,0.001431082201343763,0.016597929940315934
scvi_matched,B memory,79,0.7655230758560798,0.01802456050116919,0.28727262523962305,0.004867330891299626,0.06996740052728694,0.614990216863905,0.004255351982438442,4.7608442860087376e-05,0.0007729489991899819,0.010292194770800229
scvi_matched,B naive,128,0.7349483373071053,0.03484771294846496,0.1403618844601196,0.0,0.0,0.7701989130022278,0.0029301049478261047,0.0,0.0,0.025896238523208763
scvi_matched,CD14 Mono,937,0.9563123484001581,3.0645278588927645e-05,0.14397498791199986,0.0019448540092797365,0.0,0.7535600501936179,2.2340437127788378e-06,1.862175277978356e-08,0.0,2.18271542640025e-05
scvi_matched,CD16 Mono,131,0.8858148027838293,0.00018407678698327632,0.015754400066661473,0.026487385989261935,0.0,0.9233955678350908,3.04600269007524e-09,1.3111537591647613e-07,0.0,0.0001699756892416815
scvi_matched,CD4 Naive,378,0.47772934330656885,0.030144830937496783,0.08784068863999873,0.00782004845964686,0.05144174923268741,0.7454217592387793,0.0025349255735224625,0.0001765854232740456,0.0012169708212774015,0.021621603198874833
scvi_matched,CD4 TCM,327,0.655951562508147,0.016651502870783864,0.07985652438979064,0.01604767645569642,0.018209161751298664,0.78714056826896,0.000694467270956366,6.81027766614276e-05,9.373148169628193e-05,0.011854343136089013
scvi_matched,CD4 TEM,272,0.5169628007272844,0.020958598045659124,0.06887205770284172,0.007555480115516808,0.0,0.819770960309936,0.0010586620757241905,8.531862764787485e-05,0.0,0.0171735602315206
scvi_matched,CD8 Naive,48,0.7788695770017027,0.026328290594512558,0.07743559625782884,0.0016796489763809244,0.10561828105205236,0.7272878240863279,0.0016989465634360754,0.00012571942807493853,0.0025716160601809554,0.018226198283685397
scvi_matched,CD8 TCM,34,0.23646725431990703,0.016770891013162023,0.09742683238713482,0.025964398983695895,0.0,0.8038338967150781,0.0005650300382297399,3.252620446848223e-05,0.0,0.014267013687080294
scvi_matched,CD8 TEM,147,0.4208413572877833,0.030177106319606135,0.06738359296791797,0.03060672303387435,0.07107340315451745,0.7353897573219836,0.0011643173782992767,0.000565251341119443,0.0010048632471925667,0.021214201752694103
scvi_matched,Eryth,86,0.5386862576828227,0.013303463336599024,0.1020764204934701,0.007919299765988807,0.0,0.8146338897055694,0.00070047276857902,5.1706648453512386e-05,0.0,0.009804369823003246
scvi_matched,ILC,98,0.2560660921409901,0.02043846750009571,0.1585362545960155,0.0033173387145420527,0.0,0.7543097543371602,0.0029221737468149234,0.00013995047517727848,0.0,0.015177044095481386
scvi_matched,MAIT,24,0.7221143342404562,0.022565222120090572,0.09584367992698407,0.01016677851073414,0.0,0.7788720727547587,0.0008887103837787302,0.00012618066505879836,0.0,0.018801552690079347
scvi_matched,NK,251,0.9332948928632109,0.0008418287401854751,0.045764642267677236,0.035136812837469784,0.0,0.8417991772400308,6.360316109805828e-06,1.800805875782259e-06,0.0,0.0007297645544226583
scvi_matched,NK_CD56bright,30,0.5832927971323564,0.043659799199511184,0.13151674156247053,0.029736255479303114,0.0,0.7810642902990623,0.0026073683873970785,0.0013218888878272213,0.0,0.034454521378434994
scvi_matched,Treg,59,0.14293979910468205,0.0077386392133408305,0.07417773874029558,0.019775829927105956,0.0,0.8020287754193572,0.00030840503631547107,4.3616117308245546e-05,0.0,0.0063316754504901505
scvi_matched,cDC2,125,0.9339082943034429,3.5549787390820766e-06,0.0701658909510866,0.026806717032382577,0.008806744274749161,0.8070431252369749,3.803605683750088e-08,1.4663897567325435e-08,1.0739083888867515e-09,1.923235016576541e-06
scvi_matched,dnT,14,0.11288477670101982,0.004454234308548393,0.15850387321084344,0.015291434060715928,0.0,0.7314160478085145,0.0005550322688897408,3.786478956193817e-05,0.0,0.002726832020382663
scvi_matched,gdT,71,0.1603832106119572,0.013712886140004552,0.20702579373353597,0.015634940369110287,0.0,0.6528951496809148,0.0028979552761862473,1.0214970355938963e-05,0.0,0.010051620100506808
totalvi,B intermediate,66,0.4941419530245052,0.03703664909958357,0.23473179964678137,0.025753347147972696,0.0,0.7021006800672605,0.009858866799264506,0.0010931504816813252,0.0,0.025278316977002366
totalvi,B memory,79,0.6492542904193359,0.030747375608039605,0.1106670788720489,0.03234628904182812,0.0,0.8028391210733814,0.0029113766863819285,0.0006716120942378403,0.0,0.023272732343804135
totalvi,B naive,128,0.8058559731038986,0.02568951421741123,0.1342810848789977,0.0028222574226239162,0.0,0.8067107781419884,0.002144768666003141,1.1014811373354917e-05,0.0,0.020311551478516456
totalvi,CD14 Mono,937,0.9606630392668604,0.0001827979233616886,0.03266927241233909,0.07074439127743028,0.018798848157205054,0.7979774171715973,2.2830122436313433e-06,6.604844767177324e-06,8.634365912030262e-07,0.00014119155735826895
totalvi,CD16 Mono,131,0.8797770346687281,0.0007165242989200584,0.07973632042190094,0.03846625749794736,0.0,0.8272648869028918,2.899881442302941e-05,6.7830327170969345e-06,0.0,0.0005526265248115436
totalvi,CD4 Naive,378,0.676705756604563,0.0318046062263683,0.0715599577876772,0.008811646102415778,0.0,0.8343819786951084,0.0017930307551769394,0.0002639698894024787,0.0,0.02447129487719083
totalvi,CD4 TCM,327,0.5413818646039495,0.02426625574405579,0.0828645509733398,0.0,0.048538562830586524,0.7680064999128297,0.0015260789190516342,0.0,0.0005859870690475642,0.01760201649595944
totalvi,CD4 TEM,272,0.6160990984501961,0.024179817439111642,0.027349611240781512,0.0,0.07190517039258312,0.823964841491782,0.0003926446375501232,0.0,0.001240147142936942,0.01809007592250149
totalvi,CD8 Naive,48,0.7666714027898464,0.03588104338393727,0.09882379515973137,0.03824910556032189,0.02514213612298379,0.7531958358535152,0.003103113104568102,0.0011354051975183844,0.0003488728413844639,0.028110032942038257
totalvi,CD8 TCM,34,0.25488386735532803,0.027233507907703323,0.062264266660778125,0.0031614400140154153,0.20691399526072096,0.6938968234164041,0.0007621937713227011,7.986717434243686e-06,0.0024377146058911373,0.01898348561925807
totalvi,CD8 TEM,147,0.5975857238811053,0.04075388492383176,0.00769784950748328,0.0,0.01706842470109498,0.8771582285882122,0.00029068945049064013,0.0,0.0006469817210974713,0.033980062416226156
totalvi,Eryth,86,0.3859247680701971,0.035402924488619064,0.06097545180856662,0.016689987355045285,0.20313109319806597,0.6469452404975609,0.0018444923000532072,0.0002589904440228441,0.006335321497845028,0.021646609297671017
totalvi,ILC,98,0.14862416472951662,0.013255732739325683,0.22229659748131028,0.03607323137651561,0.0,0.6649363142286506,0.0021797731401023935,0.00037387690098874746,0.0,0.00805712970355739
