model,metric,source_subset_variance_raw,source_subset_variance_nonnegative,source_subset_fraction,model_seed_variance_raw,model_seed_variance_nonnegative,model_seed_fraction,interaction_variance_raw,interaction_variance_nonnegative,interaction_fraction,residual_variance_raw,residual_variance_nonnegative,residual_fraction,ms_source_subset,ms_model_seed,ms_interaction,ms_residual,df_source_subset,df_model_seed,df_interaction,df_residual,f_interaction_over_residual,f_source_over_interaction,f_seed_over_interaction,p_interaction,p_source_subset,p_model_seed,total_variance_nonnegative,grand_mean,n_levels_source_subset,n_levels_model_seed,n_replicates,any_raw_component_negative,matrix_min,matrix_max,sd_over_all_100_cells,phase11b_source_fraction,phase11b_seed_fraction,phase11b_interaction_residual_fraction
scvi_matched,macro_f1,7.952434194436792e-06,7.952434194436792e-06,0.023131152504513332,-3.890053775568105e-06,0.0,0.0,0.00012189287265749667,0.00012189287265749667,0.35454837571950043,0.00021395227058763073,0.00021395227058763073,0.6223204717759862,0.000537262357846992,0.000418837478146943,0.00045773801590262407,0.00021395227058763073,4,4,16,25,2.139439860326901,1.1737333129029104,0.915015715531138,0.04277854764420841,0.35934558998493005,0.47903222250559063,0.0003437975774395642,0.5972056183036175,5,5,2,True,0.5614136909760835,0.6355573307834663,0.018348671955005863,0.0,0.0,1.0
scvi_matched,error_auroc,-3.293082272097781e-06,0.0,0.0,5.920857392708561e-06,5.920857392708561e-06,0.08445125600986955,1.4515404502244596e-05,1.4515404502244596e-05,0.20703828185686057,4.967349931471562e-05,4.967349931471562e-05,0.7085104621332697,4.5773485598227004e-05,0.00013791288224629042,7.870430831920481e-05,4.967349931471562e-05,4,4,16,25,1.584432532537302,0.5815880550348184,1.7522913953700041,0.14686754242027972,0.6803606961304361,0.18790241970288168,7.010976120966879e-05,0.8381371215953203,5,5,2,True,0.8161800246422877,0.8526019061067492,0.008126364108225414,0.0203274522562015,0.3907343458004717,0.5889382019433267
scvi_matched,error_auprc,7.371164161318149e-06,7.371164161318149e-06,0.011367195995818546,-5.295516292662981e-05,0.0,0.0,0.00018411901683731673,0.00018411901683731673,0.28393302674362475,0.00045696913685157656,0.00045696913685157656,0.7046997772605568,0.0008989188121393915,0.0002956555412599119,0.00082520717052621,0.00045696913685157656,4,4,16,25,1.8058269234804736,1.089325013458351,0.35828038318108796,0.08988046405682676,0.39494884323316337,0.834550530241302,0.0006484593178502114,0.5529434538665942,5,5,2,True,0.4893466940936283,0.5884396283966651,0.02449733036821585,0.0431408203087313,0.0,0.9568591796912688
scvi_matched,nll,0.00010719668328577693,0.00010719668328577693,0.10230727891788229,0.0001761613961065834,0.0001761613961065834,0.16812640590747682,0.00028194268739392713,0.00028194268739392713,0.2690828510166693,0.0004824905968352508,0.0004824905968352508,0.4604834641579716,0.0021183428044808743,0.002807989932688939,0.001046375971623105,0.0004824905968352508,4,4,16,25,2.168697127957493,2.024456659870513,2.6835382394468352,0.04009810078062264,0.1393045091742386,0.06933122050995795,0.0010477913636215382,0.6305192344367394,5,5,2,False,0.5732345176208875,0.7163673416606086,0.03146413942418727,0.0790688010751059,0.2400250139380641,0.68090618498683
scvi_matched,brier,1.745072801943325e-05,1.745072801943325e-05,0.0702997966096164,2.180076771651396e-05,2.180076771651396e-05,0.08782381655927023,6.770391112374364e-05,6.770391112374364e-05,0.27274341657118445,0.00014127757333425383,0.00014127757333425383,0.5691329702599288,0.0004511926757760736,0.0004946930727468807,0.0002766853955817411,0.00014127757333425383,4,4,16,25,1.9584523505873144,1.6307065099241127,1.7879262174527517,0.0639550825058329,0.2151325446550108,0.18062666783309442,0.0002482329801939447,0.319768178495212,5,5,2,False,0.288844143863656,0.3630881712065273,0.015480368513751588,0.1090089441312601,0.1981793394994192,0.6928117163693207
scvi_matched,ece,2.9445572248251837e-06,2.9445572248251837e-06,0.024295031430825134,-1.695771284193078e-07,0.0,0.0,1.13618537661448e-05,1.13618537661448e-05,0.09374468664887806,0.00010689356494687458,0.00010689356494687458,0.8819602819202969,0.00015906284472741602,0.0001279215011949711,0.00012961727247916418,0.00010689356494687458,4,4,16,25,1.212582558581362,1.227173212991233,0.986917088658337,0.3240263561290916,0.3384210479483263,0.44257048913423924,0.00012119997593784457,0.03756363045808582,5,5,2,True,0.0166132342977711,0.0617631167669339,0.010967626635739403,0.1574958862767869,0.1098932974893135,0.7326108162338996
scvi_matched,aurc,2.295002850688426e-06,2.295002850688426e-06,0.06134398158063015,3.656309074334239e-06,3.656309074334239e-06,0.09773084004744045,1.2459751584156174e-05,1.2459751584156174e-05,0.3330413168978981,1.9000966025811296e-05,1.9000966025811296e-05,0.5078838614740313,6.68704977010079e-05,8.048355993746603e-05,4.3920469194123644e-05,1.9000966025811296e-05,4,4,16,25,2.3114861178353348,1.522536050456284,1.8324840652711962,0.02928838636506518,0.2428149694108165,0.17194509306820505,3.7412029534990136e-05,0.07183502389489399,5,5,2,False,0.0604652922226321,0.0885380046773476,0.006005385148492799,0.1110913506801453,0.2492641616951075,0.639644487624747
totalvi,macro_f1,-1.3230494251509513e-05,0.0,0.0,1.8952372729882885e-05,1.8952372729882885e-05,0.05621255553416047,1.0940248083673505e-05,1.0940248083673505e-05,0.03244867076676524,0.0003072628874138804,0.0003072628874138804,0.9113387736990743,0.00019683844106613225,0.0005186671108800562,0.0003291433835812274,0.0003072628874138804,4,4,16,25,1.0712109957421385,0.5980325015938096,1.5758090144080243,0.42709444735644886,0.6693304276896721,0.2287479928996526,0.00033715550822743676,0.6128143677273945,5,5,2,True,0.5644961299522065,0.6631489765453618,0.017962482744190333,0.1150691949999571,0.0942765159893709,0.790654289010672
totalvi,error_auroc,-2.411321988982177e-07,0.0,0.0,2.4233241950414917e-05,2.4233241950414917e-05,0.2004095149888499,3.6480652923875844e-05,3.6480652923875844e-05,0.30169590902901655,6.020472494155568e-05,6.020472494155568e-05,0.49789457598213366,0.0001307547088003252,0.00037549845029345654,0.00013316603078930737,6.020472494155568e-05,4,4,16,25,2.2118867068752426,0.9818923641810927,2.8197765456234305,0.03645231681836661,0.44503633280120014,0.060335190545892106,0.00012091861981584643,0.8401186277765891,5,5,2,True,0.8155332509964277,0.8628258254866642,0.010748314773026523,0.0,0.2317090111345446,0.7682909888654553
totalvi,error_auprc,1.1129015877695556e-06,1.1129015877695556e-06,0.0020260887186252866,1.7017070608615102e-05,1.7017070608615102e-05,0.030980362651171135,0.00021299969458088495,0.00021299969458088495,0.38777577730468954,0.0003181560468930903,0.0003181560468930903,0.579217771325514,0.0007552844519325558,0.0009143261421410112,0.0007441554360548602,0.0003181560468930903,4,4,16,25,2.3389636730837244,1.0149552302361668,1.2286762923997585,0.027580193335100464,0.42903541453674543,0.33784999962145984,0.00054928571367036,0.5194626089071417,5,5,2,False,0.4668094927681278,0.5760576692309348,0.023272489901913804,0.0,0.0613547062362393,0.9386452937637608
