model,metric,source_subset_variance_raw,source_subset_variance_nonnegative,source_subset_fraction,model_seed_variance_raw,model_seed_variance_nonnegative,model_seed_fraction,interaction_variance_raw,interaction_variance_nonnegative,interaction_fraction,residual_variance_raw,residual_variance_nonnegative,residual_fraction,ms_source_subset,ms_model_seed,ms_interaction,ms_residual,df_source_subset,df_model_seed,df_interaction,df_residual,f_interaction_over_residual,f_source_over_interaction,f_seed_over_interaction,p_interaction,p_source_subset,p_model_seed,total_variance_nonnegative,grand_mean,n_levels_source_subset,n_levels_model_seed,n_replicates,any_raw_component_negative,matrix_min,matrix_max,n_positive_of_50,n_negative_of_50,sd_over_all_100_cells,phase11b_source_fraction,phase11b_seed_fraction,phase11b_interaction_residual_fraction
delta_totalvi_minus_scvi,macro_f1,3.685289935620476e-05,3.685289935620476e-05,0.05094648624114496,8.712347450074787e-05,8.712347450074787e-05,0.12044194547710074,0.00010205854102786181,0.00010205854102786181,0.14108860217511948,0.0004973299739471447,0.0004973299739471447,0.6875229661066348,0.001069976049564916,0.001572681801010347,0.0007014470560028684,0.0004973299739471447,4,4,16,25,1.4104258595871737,1.5253839051832028,2.2420534629828373,0.21441727321808723,0.24204086638142758,0.11014418914842462,0.0007233648888319592,0.01560874942377695,5,5,2,False,-0.03136521544431192,0.08603530597771958,36,14,0.026429356608809528,0.0,0.0,1.0
delta_totalvi_minus_scvi,error_auroc,-5.542930325092261e-06,0.0,0.0,2.276177766130149e-05,2.276177766130149e-05,0.131040895418809,2.239542535803008e-05,2.239542535803008e-05,0.12893178361858929,0.00012854259953890376,0.00012854259953890376,0.7400273209626016,0.0001179041470040413,0.0004009512268679788,0.00017333345025496392,0.00012854259953890376,4,4,16,25,1.348451415147428,0.6802157738775224,2.313178594657879,0.24463695801835866,0.6156741076957667,0.10209974580706835,0.00017369980255823534,0.0019815061812686286,5,5,2,True,-0.02689333056175036,0.03335206605607233,26,24,0.01282720457882156,0.0,0.3196909319003667,0.6803090680996333
delta_totalvi_minus_scvi,error_auprc,0.00019658504519990522,0.00019658504519990522,0.16709779445095532,1.1817040763755317e-05,1.1817040763755317e-05,0.010044515067525076,0.00020494899578866755,0.00020494899578866755,0.1742071739811111,0.0007631159437152323,0.0007631159437152323,0.6486505165004085,0.0031388643872916197,0.0012911843429301206,0.0011730139352925674,0.0007631159437152323,4,4,16,25,1.5371372396987875,2.6758969291432497,1.100740838690957,0.1629301734779634,0.06987759410519698,0.38994529021142654,0.0011764670254675604,-0.03348084495945243,5,5,2,False,-0.09228618500351482,0.04704604756745634,8,42,0.03367501237926802,0.04799371210768,0.0287136902141244,0.9232925976781954
delta_totalvi_minus_scvi,nll,0.00013734047415908465,0.00013734047415908465,0.06858464311706353,0.00039225648422962017,0.00039225648422962017,0.1958837782231657,1.2716555915625455e-05,1.2716555915625455e-05,0.006350352687301132,0.0014601824952566642,0.0014601824952566642,0.7291812259724696,0.0028590203486787615,0.005408180449384117,0.0014856156070879151,0.0014601824952566642,4,4,16,25,1.0174177624467278,1.9244684392371032,3.6403632430768305,0.47167784427256126,0.15539141368620735,0.027156137294069578,0.0020024960095609947,-0.05258586299724897,5,5,2,False,-0.16511452651229153,0.06334974650122105,4,46,0.04364588843507759,0.1084709563110196,0.2142809334967914,0.6772481101921889
delta_totalvi_minus_scvi,brier,1.1148513380016684e-05,1.1148513380016684e-05,0.0222416010333237,5.689466180455534e-05,5.689466180455534e-05,0.11350646724351932,0.00013167787003150072,0.00013167787003150072,0.2627010929912978,0.0003015249470716817,0.0003015249470716817,0.6015508387318592,0.00067636582093485,0.0011338273051802366,0.0005648806871346832,0.0003015249470716817,4,4,16,25,1.8734127727096284,1.1973604981357517,2.0071978578901226,0.0773068582950225,0.34994389961801203,0.1419489284109882,0.0005012459922877544,-0.03315103317541791,5,5,2,False,-0.08413087192983221,0.023493837149324404,2,48,0.022046790305244316,0.1186980970393569,0.1307821210262085,0.7505197819344346
delta_totalvi_minus_scvi,ece,7.029600445296146e-06,7.029600445296146e-06,0.030405855443575085,7.0081794696804775e-06,7.0081794696804775e-06,0.03031320108959026,2.795781849485218e-05,2.795781849485218e-05,0.12092883433240036,0.00018919672763214536,0.00018919672763214536,0.8183521091344343,0.00031540836907481117,0.0003151941593186545,0.0002451123646218497,0.00018919672763214536,4,4,16,25,1.2955423050361683,1.2867909359097878,1.2859170111835214,0.27333066752427637,0.3164822287806794,0.31679346100722516,0.00023119232604197415,-0.010009972122902227,5,5,2,False,-0.0405989024173835,0.021567520945587906,13,37,0.015101105607805804,0.206827431029537,0.0209197652990609,0.7722528036714021
delta_totalvi_minus_scvi,aurc,-3.488580467087731e-07,0.0,0.0,4.718899001760726e-06,4.718899001760726e-06,0.055964337357257574,3.0191182133504784e-05,3.0191182133504784e-05,0.3580558730973964,4.940967005980103e-05,4.940967005980103e-05,0.585979789545346,0.00010630345385972286,0.00015698102434441786,0.0001097920343268106,4.940967005980103e-05,4,4,16,25,2.222075844544766,0.968225559454491,1.429803403379365,0.03564301070636705,0.451805403640526,0.269458887456478,8.431975119506654e-05,-0.01298786553304531,5,5,2,True,-0.031592660198710695,0.010848112988239303,3,47,0.009085817849298083,0.0970323624457634,0.0832559880981922,0.8197116494560442
