model,source_subset_seed,model_seed,replicate,run_replicate_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
scvi_matched,0,0,0,,0.7821482602118003,0.6316778487833339,0.6213208026679086,0.7735143023330544,0.8476219643240919,0.5479958134854668,0.2178517397881997,0.6120943089942438,0.3009670435130476,0.020117838949010154,0.06306011517018131,3462,3305
scvi_matched,0,0,1,91000.0,0.7794251134644478,0.6501704799720049,0.6355573307834663,0.7764962329062249,0.8472254172737264,0.5578303466817889,0.22057488653555218,0.6009987803629226,0.3026385081015966,0.02849518163481927,0.06331339173909943,3462,3305
scvi_matched,0,1,0,,0.7639939485627837,0.5984337186768609,0.5740826384229197,0.7569874001647244,0.8389007362274687,0.5490205787261829,0.23600605143721634,0.6400517754228936,0.3232878488078392,0.037778366071914586,0.07206285101661548,3462,3305
scvi_matched,0,1,1,91001.0,0.756732223903177,0.5972782441323135,0.5788493915902213,0.7478161641008575,0.8410755100944696,0.5709449493211115,0.24326777609682299,0.6352600396112702,0.32762793285381187,0.04575079876968973,0.07472326264613585,3462,3305
scvi_matched,0,2,0,,0.7818456883509833,0.6144569592089875,0.6087841435883937,0.7738038130280986,0.8380994963135995,0.5504155475964114,0.21815431164901664,0.6097752715057477,0.3049053205178557,0.030976663550161918,0.06542408245849161,3462,3305
scvi_matched,0,2,1,91002.0,0.7636913767019667,0.6218291627428745,0.6045195189933957,0.7589966333024983,0.8411799858363551,0.5333169125441963,0.2363086232980333,0.619798659335601,0.3183588197834068,0.03857635557200651,0.07136592487768233,3462,3305
scvi_matched,0,3,0,,0.7888048411497731,0.6429070487533601,0.6241685445520259,0.7794218460001096,0.8286270268606781,0.48934669409362835,0.21119515885022694,0.5921282996664813,0.3000830790344402,0.028878397425797273,0.06452220645793307,3462,3305
scvi_matched,0,3,1,91003.0,0.7794251134644478,0.6437368960862255,0.6319283141340313,0.7767972708466744,0.8350975342722524,0.5124044337933699,0.22057488653555218,0.592026395234824,0.30464807313299186,0.03228967362020092,0.06620033975046649,3462,3305
scvi_matched,0,4,0,,0.7763993948562784,0.6393008644348367,0.6176299800174402,0.7716178363424461,0.8275924259890712,0.512864616074064,0.22360060514372163,0.6173721636380871,0.3140988275727643,0.03472249916389743,0.06995328969677742,3462,3305
scvi_matched,0,4,1,91004.0,0.7715582450832073,0.5995677800156458,0.5887047400145806,0.7564236115149414,0.8460012985326579,0.5596172466197612,0.22844175491679275,0.6118676383693725,0.3110615764093444,0.03741267024118133,0.0668143034511128,3462,3305
totalvi,0,0,0,,0.7767019667170953,0.6036720552836272,0.6058725616835867,0.7602175161209623,0.823524661035469,0.52877426819397,0.22329803328290468,0.626614647851066,0.3162322483275044,0.0393703859169797,0.0739082281584206,3462,3305
totalvi,0,0,1,91000.0,0.7806354009077155,0.6113131437171953,0.610964323487075,0.7651786473755249,0.8548404170008019,0.5438861812309043,0.21936459909228442,0.5807167772188578,0.2952306478525009,0.032054427820687584,0.060319628451571655,3462,3305
totalvi,0,1,0,,0.8075642965204236,0.6225383667667912,0.6107139279728668,0.7852955399668342,0.8590702474957055,0.5219981309352798,0.1924357034795764,0.5489880553395261,0.2728735917465237,0.027402078906995628,0.04986260223188879,3462,3305
totalvi,0,1,1,91001.0,0.7936459909228442,0.6047224429612001,0.5803318017354715,0.763935559357702,0.8624126970639827,0.5760576692309348,0.20635400907715581,0.6078558973694699,0.28785871139418323,0.03911465072776114,0.05503630759477035,3462,3305
totalvi,0,2,0,,0.8021180030257186,0.60900287629498,0.6144167021990642,0.7788862316676725,0.8519028651123516,0.5162877707685429,0.19788199697428138,0.5680931239816492,0.27914594983475904,0.01979059900710876,0.05428471019865706,3462,3305
totalvi,0,2,1,91002.0,0.81089258698941,0.6311499878082688,0.6246144142801454,0.7861264831393826,0.841065671641791,0.5106603516253878,0.18910741301059,0.5676982912313447,0.27318019353401896,0.010783264135629075,0.05431941190007032,3462,3305
totalvi,0,3,0,,0.7912254160363086,0.6110238651774165,0.6112627116391638,0.7663314354120747,0.8381400504336741,0.5363927416610846,0.2087745839636914,0.5898615145011405,0.29338668003288226,0.033817361883604936,0.06258195914227677,3462,3305
totalvi,0,3,1,91003.0,0.7957639939485628,0.6034090133543774,0.6091110019605062,0.7726207117383137,0.8408595972398254,0.5270682305800406,0.2042360060514372,0.5600923811730859,0.28343688129393846,0.020763985093530845,0.059261044900213077,3462,3305
totalvi,0,4,0,,0.7561270801815431,0.6158192178084456,0.6085273742388597,0.7396715533248587,0.8375747321261011,0.5513779098014076,0.24387291981845688,0.6807219101393082,0.3375926647220887,0.048623971354763026,0.07710125776553317,3462,3305
totalvi,0,4,1,91004.0,0.8084720121028744,0.6367196923152731,0.6348206201120321,0.7848742550869316,0.8435208965954346,0.5052138891106701,0.19152798789712558,0.5472885279281966,0.27430246444571094,0.029432919517768146,0.054615054924641804,3462,3305
scvi_matched,1,0,0,,0.7773071104387292,0.6266268888696529,0.60203241615354,0.7673764570368775,0.8427773875810246,0.5367872187353229,0.2226928895612708,0.5965732133828255,0.3074160213765886,0.03426299167292561,0.06547169551061728,3470,3305
scvi_matched,1,0,1,91010.0,0.7785173978819969,0.6234362542569365,0.5966607410630489,0.7662945589966571,0.8465164199898482,0.5561070323160289,0.22148260211800302,0.6023026881822466,0.30275871051823555,0.025631013526137413,0.06461485833021846,3470,3305
scvi_matched,1,1,0,,0.7591527987897125,0.6209800317613352,0.6023319391091471,0.7508578176891614,0.8476134158236379,0.5563135851124636,0.24084720121028744,0.6282726154643289,0.3225558181051617,0.04705878048909776,0.07118785956202518,3470,3305
scvi_matched,1,1,1,91011.0,0.7679273827534039,0.6115512803989283,0.605019659652988,0.7580964830364363,0.8393107940529505,0.528005470821066,0.23207261724659606,0.6110975195746019,0.3146851759904322,0.04183319531121882,0.07024954425384454,3470,3305
scvi_matched,1,2,0,,0.7718608169440242,0.6216516788855946,0.6081009224851729,0.7669614556220485,0.8360912192337326,0.550429915056779,0.2281391830559758,0.6034798119216565,0.3086782564462325,0.01661323429777114,0.07021734594114797,3470,3305
scvi_matched,1,2,1,91012.0,0.7751891074130106,0.6233519848077207,0.600644619071014,0.7650472026355227,0.8526019061067492,0.5842955382507791,0.2248108925869894,0.5870866858800899,0.3007483925824179,0.03591577095992626,0.06424020921159981,3470,3305
scvi_matched,1,3,0,,0.7540090771558245,0.5823364059859581,0.5629153778484471,0.7458205457407039,0.8390223870135972,0.5810082706306257,0.24599092284417548,0.6618778675186979,0.33564532357020643,0.054511924166903,0.07715589603930374,3470,3305
scvi_matched,1,3,1,91013.0,0.7642965204236006,0.6166725944956918,0.5926246222055679,0.7590493610910248,0.840287454631016,0.569976211662689,0.2357034795763994,0.6167831177049279,0.3155027594910619,0.027042563410642095,0.07320815282292006,3470,3305
